x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,7.848042909012116833e-03,-1.347817389772865962e-03
2.150677684622799291e-01,1.958417653669586400e+01,7.935743014064267423e-03,-1.292712977537694352e-03
3.125627968666293555e-01,1.864716906470728475e+01,7.967862564850769491e-03,-1.162498371836094991e-03
3.171253586207214425e-01,1.911682022212894339e+01,7.974630302808221119e-03,-1.228556868472903624e-03
3.197227889367013631e-01,1.815502063943323918e+01,7.966898651049651725e-03,-1.093555979573908495e-03
5.000000000000000000e-01,2.000000000000000000e+01,8.065264465431574298e-03,-1.355122520766124938e-03
7.268377157609293704e-01,1.948189336371245162e+01,8.157353953038789379e-03,-1.285553671378612470e-03
3.324799169943588595e-01,1.765661494120666219e+01,7.969280685940390019e-03,-1.024059343237854495e-03
7.477099128314499410e-01,1.841673112457957373e+01,8.156043208599217734e-03,-1.136322187658428233e-03
7.288281609585993692e-01,1.893264419257299380e+01,8.152349713078299240e-03,-1.208448727880666968e-03
6.126140549771008637e-03,1.393883490349006493e+01,7.824608231978150488e-03,-5.136381050298631339e-04
3.462454528261709186e-01,1.715835398417801372e+01,7.972978163106493946e-03,-9.549166871038079762e-04
7.610859817068700295e-01,1.792254221555610627e+01,8.158320012352043155e-03,-1.067282387504972681e-03
3.588043807178813438e-01,1.666021960889865738e+01,7.976920522437780728e-03,-8.861537834283839989e-04
1.085692806363770302e+00,1.917436296054636102e+01,8.310323669515715106e-03,-1.246962002619952112e-03
1.229153078410270439e+00,1.873248263188046536e+01,8.368753264587896340e-03,-1.186746247119016898e-03
9.999999999999893419e-01,2.000000000000000000e+01,8.282266580045424820e-03,-1.361586789735166067e-03
2.360066974684826846e-02,1.344230011818341985e+01,7.833240486429934521e-03,-4.482049603928375293e-04
3.689567595568306047e-01,1.616831246226082541e+01,7.980478846358331560e-03,-8.186281274422617773e-04
3.852315172461189263e-01,1.567831972280428943e+01,7.987235186104392828e-03,-7.518676338120021526e-04
4.019493949504706620e-01,1.518776455835368644e+01,7.994593818650169714e-03,-6.854434904578910869e-04
4.152197164099789006e-01,1.469291716997159014e+01,8.000760787109435779e-03,-6.187980384196267942e-04
4.298882323578894216e-01,1.419623623162349091e+01,8.007751025042551818e-03,-5.523040416498015441e-04
7.692281648677301575e-01,1.742261178628551832e+01,8.159075512625410878e-03,-9.975842116819505414e-04
1.200283162850748653e+00,1.819110516899724672e+01,8.351962776045957632e-03,-1.110489066977127714e-03
1.250000000000021316e+00,1.956698729810777593e+01,8.385798895508316669e-03,-1.303996031098379272e-03
1.493645076688999040e+00,1.915780731645812551e+01,8.487710038496727380e-03,-1.249417889526327659e-03
3.021816274658917223e-02,1.293697799842149010e+01,7.837187331797083531e-03,-3.818349687630260745e-04
4.441026490960204853e-01,1.370340103264483567e+01,8.014666096032189296e-03,-4.866659377430594766e-04
7.834061262387201907e-01,1.692026848054210220e+01,8.163200904161223986e-03,-9.279241751662373108e-04
1.197082458876931099e+00,1.769236410254564618e+01,8.347440023922439792e-03,-1.040673802338376716e-03
7.952304015982782914e-01,1.642383889671659247e+01,8.166971433488103352e-03,-8.593927462140661796e-04
1.719710019260990208e+00,1.882683477713113973e+01,8.583248086931080309e-03,-1.205482071381689963e-03
1.499999999999989342e+00,2.000000000000000000e+01,8.498946535092071625e-03,-1.367378332498973273e-03
4.556153152296005260e-02,1.243633101129515950e+01,7.844809141068701322e-03,-3.164226575004859825e-04
6.505650485206970757e-02,1.193874412405663676e+01,7.854084666070267409e-03,-2.516365300437683312e-04
8.351299073286000407e-02,1.144186637449435651e+01,7.862740489357937859e-03,-1.870830669276391824e-04
4.524969318071505597e-01,1.319515967823735636e+01,8.019138159714616840e-03,-4.192437300963944985e-04
8.055556596365285316e-01,1.593434693313355233e+01,8.170649171635924538e-03,-7.921597965788981831e-04
8.259092084109092013e-01,1.544607123446077601e+01,8.179140287857867425e-03,-7.255757701152737481e-04
8.399171062219110695e-01,1.495112084517530882e+01,8.185211486465634664e-03,-6.583663734961502046e-04
8.528497455404107086e-01,1.445376168039130249e+01,8.191081045531055718e-03,-5.911756363659971059e-04
8.686876196325883370e-01,1.395454822402442296e+01,8.198398569897433902e-03,-5.240981055882936107e-04
1.208599230678750303e+00,1.718561937279882557e+01,8.349976319229812996e-03,-9.701251530689949379e-04
1.640309154242618916e+00,1.842499282476863698e+01,8.545601581558847845e-03,-1.148330237958549924e-03
1.626358391036340834e+00,1.795751811465306247e+01,8.536390977195834270e-03,-1.082704843942339928e-03
1.749965376699130104e+00,1.956699425731710917e+01,8.602903299654919220e-03,-1.309478781119723361e-03
2.036298398502758289e+00,1.915510226709084662e+01,8.723598572594391115e-03,-1.254712511880169603e-03
9.393282445844874928e-02,1.094742152819198644e+01,7.867737818506428948e-03,-1.229240492908112914e-04
4.641804179173796285e-01,1.269801895595811203e+01,8.025003860902742495e-03,-3.536025441819282589e-04
