x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,8.887682889460355243e-03,-5.783502176849158192e-04
2.150677684622799291e-01,1.958417653669586400e+01,8.984985417356301449e-03,-5.549317255047547326e-04
3.125627968666293555e-01,1.864716906470728475e+01,9.020879343034486977e-03,-4.956713730818531087e-04
3.171253586207214425e-01,1.911682022212894339e+01,9.028193914847916501e-03,-5.262062976640960454e-04
3.197227889367013631e-01,1.815502063943323918e+01,9.020152412617585963e-03,-4.640995293964458326e-04
5.000000000000000000e-01,2.000000000000000000e+01,9.128838286474661931e-03,-5.866388923486811702e-04
7.268377157609293704e-01,1.948189336371245162e+01,9.230889473074198673e-03,-5.564267379064951865e-04
3.324799169943588595e-01,1.765661494120666219e+01,9.023242927372691555e-03,-4.325705165245231996e-04
7.477099128314499410e-01,1.841673112457957373e+01,9.229715720947523350e-03,-4.876820673761562736e-04
7.288281609585993692e-01,1.893264419257299380e+01,9.225399902499886035e-03,-5.207421992140070892e-04
6.126140549771008637e-03,1.393883490349006493e+01,8.867770352500827652e-03,-2.078106596590454367e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.027871556681074314e-03,-4.014905562170641130e-04
7.610859817068700295e-01,1.792254221555610627e+01,9.232575458578515248e-03,-4.561748915620220720e-04
3.588043807178813438e-01,1.666021960889865738e+01,9.032826787474594957e-03,-3.708731483964895119e-04
1.085692806363770302e+00,1.917436296054636102e+01,9.400548073557783019e-03,-5.416371955735990685e-04
1.229153078410270439e+00,1.873248263188046536e+01,9.465405104182502555e-03,-5.150024787338381349e-04
9.999999999999893419e-01,2.000000000000000000e+01,9.369605967514831740e-03,-5.940578779527652242e-04
2.360066974684826846e-02,1.344230011818341985e+01,8.877925712180162118e-03,-1.808362576818888759e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.037385057446152212e-03,-3.410968012479024874e-04
3.852315172461189263e-01,1.567831972280428943e+01,9.045502188708889196e-03,-3.120178024972006269e-04
4.019493949504706620e-01,1.518776455835368644e+01,9.054288258493418257e-03,-2.833831706151702197e-04
4.152197164099789006e-01,1.469291716997159014e+01,9.061749821236805141e-03,-2.549120948535111013e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.070100379808166899e-03,-2.267864128898050894e-04
7.692281648677301575e-01,1.742261178628551832e+01,9.233842927443721565e-03,-4.245471400919167992e-04
1.200283162850748653e+00,1.819110516899724672e+01,9.447025750371098110e-03,-4.796705071450339960e-04
1.250000000000021316e+00,1.956698729810777593e+01,9.484286527939261510e-03,-5.694205204926154314e-04
1.493645076688999040e+00,1.915780731645812551e+01,9.597210651487874181e-03,-5.460441652996652099e-04
3.021816274658917223e-02,1.293697799842149010e+01,8.882849023907159192e-03,-1.536349476673699377e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.078326115020688564e-03,-1.992630876577332648e-04
7.834061262387201907e-01,1.692026848054210220e+01,9.238916300992116443e-03,-3.932512424717621302e-04
1.197082458876931099e+00,1.769236410254564618e+01,9.442340391266929034e-03,-4.477107809272084051e-04
7.952304015982782914e-01,1.642383889671659247e+01,9.243637746693258300e-03,-3.627204981107424553e-04
1.719710019260990208e+00,1.882683477713113973e+01,9.703122774967928160e-03,-5.274269761664997398e-04
1.499999999999989342e+00,2.000000000000000000e+01,9.609911130518993677e-03,-6.007633978415767746e-04
4.556153152296005260e-02,1.243633101129515950e+01,8.891761984965329546e-03,-1.270602735712702310e-04
6.505650485206970757e-02,1.193874412405663676e+01,8.902420864675488626e-03,-1.008972921254654799e-04
8.351299073286000407e-02,1.144186637449435651e+01,8.912309234637162333e-03,-7.492770583025339863e-05
4.524969318071505597e-01,1.319515967823735636e+01,9.083818460706624340e-03,-1.711854295140567488e-04
8.055556596365285316e-01,1.593434693313355233e+01,9.248277826220802772e-03,-3.330360364298542378e-04
8.259092084109092013e-01,1.544607123446077601e+01,9.258258085832546044e-03,-3.039881045010429006e-04
8.399171062219110695e-01,1.495112084517530882e+01,9.265565305750313868e-03,-2.748858142522234756e-04
8.528497455404107086e-01,1.445376168039130249e+01,9.272638113601086585e-03,-2.460447937602593485e-04
8.686876196325883370e-01,1.395454822402442296e+01,9.281287031092591219e-03,-2.175135252507118104e-04
1.208599230678750303e+00,1.718561937279882557e+01,9.445564952473489012e-03,-4.157534954664711163e-04
1.640309154242618916e+00,1.842499282476863698e+01,9.661502118884170501e-03,-5.004935737908333898e-04
1.626358391036340834e+00,1.795751811465306247e+01,9.651510790501988818e-03,-4.702439882672697401e-04
1.749965376699130104e+00,1.956699425731710917e+01,9.724965304036348526e-03,-5.757754576182174582e-04
2.036298398502758289e+00,1.915510226709084662e+01,9.858635925640551328e-03,-5.524417521787778999e-04
9.393282445844874928e-02,1.094742152819198644e+01,8.918064064095150914e-03,-4.917458469291460251e-05
4.641804179173796285e-01,1.269801895595811203e+01,9.090781723272425494e-03,-1.440648992620859742e-04
8.754673994819093252e-01,1.345467652379300105e+01,9.285673329884691976e-03,-1.892137054564484177e-04
1.221766762960800889e+00,1.668167315296634712e+01,9.450364192283945003e-03,-3.843586749822682207e-04
1.635070722763060758e+00,1.745296325419825223e+01,9.652973851842744368e-03,-4.381278137981757807e-04
1.231747447719911293e+00,1.618954719858659175e+01,9.454300277973689756e-03,-3.540454235975717761e-04
2.068312481335588870e+00,1.868155847200793573e+01,9.870030463586133146e-03,-5.221406995138163764e-04
1.999999999999971578e+00,2.000000000000000000e+01,9.849916168230370833e-03,-6.067415147330960414e-04
1.083717459485988854e-01,1.044811660397001774e+01,8.925412260782609672e-03,-2.324573643434919005e-05
4.868538278209015857e-01,1.219570057768595639e+01,9.102860872939344886e-03,-1.169848880074808112e-04
5.064911181694888853e-01,1.169699876179332776e+01,9.113275804374555353e-03,-9.026288011383856301e-05
5.202005968038285744e-01,1.120373432965658722e+01,9.120615923234431932e-03,-6.393947918066103747e-05
8.884742515083807746e-01,1.295637945450387107e+01,9.293046416770518389e-03,-1.613738874397302914e-04
1.247280178898389380e+00,1.569780972157349908e+01,9.461447632617700845e-03,-3.242163460072718800e-04
1.263726504782329840e+00,1.520818604837023891e+01,9.469457301657383669e-03,-2.949099521073794195e-04
1.276633041324370055e+00,1.471175150185687386e+01,9.476087419651732860e-03,-2.655379512528240581e-04
1.289750815375310111e+00,1.421359363733669490e+01,9.483055083731048787e-03,-2.364357153349891415e-04
1.301095561947441581e+00,1.371486108896388245e+01,9.489317285898203266e-03,-2.076255894457460568e-04
1.645041148365240957e+00,1.694383546025508380e+01,9.655752314651435200e-03,-4.060331876373559907e-04
2.058453210940839995e+00,1.821660273610089575e+01,9.861891740606105322e-03,-4.920218650402549600e-04
2.063815988053988804e+00,1.772139028509279157e+01,9.861505615137379846e-03,-4.602803920781094313e-04
2.258577074391059369e+00,1.961444062813436418e+01,9.969943330107091176e-03,-5.846344955614456119e-04
2.479110847048140442e+00,1.893005132847154925e+01,1.006991653499299082e-02,-5.426254934368110808e-04
1.214398668547005400e-01,9.948058485410040674e+00,8.931766840117946402e-03,2.714390726890558829e-06
5.316974400276812673e-01,1.070572227832425938e+01,9.126644944882042129e-03,-3.745112729195740857e-05
1.320214494593514587e-01,9.453180679547363852e+00,8.936599325936307389e-03,2.844298785953415035e-05
1.434889760656616886e-01,8.958580059910874027e+00,8.941528469576635191e-03,5.424833279774050307e-05
9.046783535894284967e-01,1.245691416915397198e+01,9.301877111364412545e-03,-1.337554528599635547e-04
1.312355148759518642e+00,1.321668213778762180e+01,9.495602696606946294e-03,-1.791596691839897934e-04
1.657946755111389336e+00,1.644613137774738831e+01,9.660630626901107326e-03,-3.750239963434508759e-04
2.073075564774370605e+00,1.721088302092289624e+01,9.863579621014499296e-03,-4.278306676705607948e-04
1.669942107129180897e+00,1.595554498459488357e+01,9.665623671363308619e-03,-3.447897780842925481e-04
2.515198671144581510e+00,1.932125572891566279e+01,1.009054003683392160e-02,-5.683151256483063305e-04
