x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.090528490974978539e-02,-1.427300731437289262e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.102603257382176599e-02,-1.368991442813287948e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.107037170129033209e-02,-1.229374907947031019e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.107960395085193749e-02,-1.300423930425406195e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.106920358483228818e-02,-1.155370501418835020e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.120446859465789452e-02,-1.437467517074800293e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.133120500944480476e-02,-1.363555169985329650e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.107269602948077365e-02,-1.080915533990821397e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.132952236024873695e-02,-1.203172483716225243e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.132433700574867960e-02,-1.280607604204775851e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.087592242522174638e-02,-5.374665634780679234e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.107803917904573096e-02,-1.006982000013007406e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.133281519452085731e-02,-1.129120318345991011e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.108374668244495494e-02,-9.335983279239782294e-04
1.085692806363770302e+00,1.917436296054636102e+01,1.154181410683965438e-02,-1.323487899343544008e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.162228191730439557e-02,-1.259298766959623906e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.150328435665259365e-02,-1.446502392569253915e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.088809303867063934e-02,-4.686989420728722173e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.108893904019410577e-02,-8.616786386519523395e-04
3.852315172461189263e-01,1.567831972280428943e+01,1.109854132933185862e-02,-7.907502199457142056e-04
4.019493949504706620e-01,1.518776455835368644e+01,1.110897626045263820e-02,-7.203265335031982988e-04
4.152197164099789006e-01,1.469291716997159014e+01,1.111777076491338341e-02,-6.497967439572507409e-04
4.298882323578894216e-01,1.419623623162349091e+01,1.112768790563946515e-02,-5.795659692875593802e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.133405970705665504e-02,-1.054451590142884733e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.159927898910551730e-02,-1.177255586546478152e-03
