x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,7.800035482456921070e-03,-1.187678924149149088e-03
2.150677684622799291e-01,1.958417653669586400e+01,7.886826063065708464e-03,-1.139110680422059660e-03
3.125627968666293555e-01,1.864716906470728475e+01,7.918665569133695112e-03,-1.023749654896334875e-03
3.171253586207214425e-01,1.911682022212894339e+01,7.925326985056111231e-03,-1.082346367940642453e-03
3.197227889367013631e-01,1.815502063943323918e+01,7.917767986363719035e-03,-9.626439183979018958e-04
5.000000000000000000e-01,2.000000000000000000e+01,8.014999758850198039e-03,-1.194927918206738649e-03
7.268377157609293704e-01,1.948189336371245162e+01,8.106110778288081256e-03,-1.133518991835132930e-03
3.324799169943588595e-01,1.765661494120666219e+01,7.920199266155721757e-03,-9.010976317699650193e-04
7.477099128314499410e-01,1.841673112457957373e+01,8.104871331526739692e-03,-1.001187396930975672e-03
7.288281609585993692e-01,1.893264419257299380e+01,8.101179022817584646e-03,-1.065118214146692664e-03
6.126140549771008637e-03,1.393883490349006493e+01,7.777917946817275267e-03,-4.502502578365493867e-04
3.462454528261709186e-01,1.715835398417801372e+01,7.923946195737654671e-03,-8.399139115481192878e-04
7.610859817068700295e-01,1.792254221555610627e+01,8.107179565950065406e-03,-9.400165349036972975e-04
3.588043807178813438e-01,1.666021960889865738e+01,7.927944474388987431e-03,-7.791154195458933982e-04
1.085692806363770302e+00,1.917436296054636102e+01,8.257465028897665801e-03,-1.099770287671767398e-03
1.229153078410270439e+00,1.873248263188046536e+01,8.315287355383631576e-03,-1.046551154564861943e-03
9.999999999999893419e-01,2.000000000000000000e+01,8.229722813061652806e-03,-1.201360691166404549e-03
2.360066974684826846e-02,1.344230011818341985e+01,7.786561495690835603e-03,-3.927621159698891870e-04
3.689567595568306047e-01,1.616831246226082541e+01,7.931568315479515727e-03,-7.194603204704363205e-04
3.852315172461189263e-01,1.567831972280428943e+01,7.938358725299958507e-03,-6.605426576381038780e-04
4.019493949504706620e-01,1.518776455835368644e+01,7.945747358703583729e-03,-6.019726621037602620e-04
4.152197164099789006e-01,1.469291716997159014e+01,7.951957193301453786e-03,-5.432524459514675216e-04
4.298882323578894216e-01,1.419623623162349091e+01,7.958978797310136549e-03,-4.847131998146914913e-04
7.692281648677301575e-01,1.742261178628551832e+01,8.107998315369248019e-03,-8.782927744509516372e-04
1.200283162850748653e+00,1.819110516899724672e+01,8.298716365215256727e-03,-9.789023877356168614e-04
1.250000000000021316e+00,1.956698729810777593e+01,8.332140796986589604e-03,-1.150585533951043078e-03
1.493645076688999040e+00,1.915780731645812551e+01,8.432959388939202314e-03,-1.102469717688395060e-03
3.021816274658917223e-02,1.293697799842149010e+01,7.790562861692137790e-03,-3.344778566828102108e-04
4.441026490960204853e-01,1.370340103264483567e+01,7.965919961182184317e-03,-4.269681646980138081e-04
7.834061262387201907e-01,1.692026848054210220e+01,8.112163341326026830e-03,-8.166556003995019321e-04
1.197082458876931099e+00,1.769236410254564618e+01,8.294296614672359499e-03,-9.170316902118902554e-04
7.952304015982782914e-01,1.642383889671659247e+01,8.115984362821635281e-03,-7.560616682133951359e-04
1.719710019260990208e+00,1.882683477713113973e+01,8.527479932051797856e-03,-1.063770234052415810e-03
1.499999999999989342e+00,2.000000000000000000e+01,8.444110763203135570e-03,-1.207133970872421511e-03
4.556153152296005260e-02,1.243633101129515950e+01,7.798185142864637667e-03,-2.770760581026389803e-04
6.505650485206970757e-02,1.193874412405663676e+01,7.807428986198116164e-03,-2.202507307331923669e-04
8.351299073286000407e-02,1.144186637449435651e+01,7.816044886502808084e-03,-1.636472643845212477e-04
4.524969318071505597e-01,1.319515967823735636e+01,7.970438585372257440e-03,-3.676866912171654171e-04
8.055556596365285316e-01,1.593434693313355233e+01,8.119717232404035506e-03,-6.966610111583953916e-04
8.259092084109092013e-01,1.544607123446077601e+01,8.128214287800587107e-03,-6.378937396516915111e-04
8.399171062219110695e-01,1.495112084517530882e+01,8.134320201270873671e-03,-5.786122043768905697e-04
8.528497455404107086e-01,1.445376168039130249e+01,8.140226464481351357e-03,-5.193896853950616529e-04
8.686876196325883370e-01,1.395454822402442296e+01,8.147561046554199077e-03,-4.603110785090731892e-04
1.208599230678750303e+00,1.718561937279882557e+01,8.296874638515637154e-03,-8.545665062544200753e-04
1.640309154242618916e+00,1.842499282476863698e+01,8.490254844132414172e-03,-1.012997657829955945e-03
1.626358391036340834e+00,1.795751811465306247e+01,8.481179242537866675e-03,-9.548071703130195549e-04
1.749965376699130104e+00,1.956699425731710917e+01,8.546928988642874675e-03,-1.156057861348765798e-03
2.036298398502758289e+00,1.915510226709084662e+01,8.666317767030683530e-03,-1.107796777561612838e-03
9.393282445844874928e-02,1.094742152819198644e+01,7.821027998461701700e-03,-1.073993721983280589e-04
4.641804179173796285e-01,1.269801895595811203e+01,7.976322463432059320e-03,-3.100078002751143532e-04
8.754673994819093252e-01,1.345467652379300105e+01,8.151111873764741930e-03,-4.013854777996050363e-04
1.221766762960800889e+00,1.668167315296634712e+01,8.300817759443373037e-03,-7.927430578397562551e-04
1.635070722763060758e+00,1.745296325419825223e+01,8.482253748698100407e-03,-8.924072829126760429e-04
1.231747447719911293e+00,1.618954719858659175e+01,8.303969516891902131e-03,-7.326400934119645840e-04
2.068312481335588870e+00,1.868155847200793573e+01,8.676484503662389505e-03,-1.049267219900991074e-03
1.999999999999971578e+00,2.000000000000000000e+01,8.658317726507692991e-03,-1.212241533124454491e-03
1.083717459485988854e-01,1.044811660397001774e+01,7.827503345220764713e-03,-5.066722409181924629e-05
4.868538278209015857e-01,1.219570057768595639e+01,7.986828133000757612e-03,-2.520197269634898672e-04
5.064911181694888853e-01,1.169699876179332776e+01,7.995903093416700108e-03,-1.945933837493339440e-04
5.202005968038285744e-01,1.120373432965658722e+01,8.002287672061373855e-03,-1.378870696807192597e-04
8.884742515083807746e-01,1.295637945450387107e+01,8.157368922879470671e-03,-3.429744001726625982e-04
1.247280178898389380e+00,1.569780972157349908e+01,8.309973916117362538e-03,-6.729662888117515264e-04
1.263726504782329840e+00,1.520818604837023891e+01,8.316746852504617107e-03,-6.138796631695716752e-04
1.276633041324370055e+00,1.471175150185687386e+01,8.322287719464679934e-03,-5.542568580244168572e-04
