x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.004873345734416494e-02,-2.049665770085306281e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.016198222028897452e-02,-1.965860945828963157e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.020339299779627652e-02,-1.769165716837792311e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.021218668151893834e-02,-1.868786761805934843e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.020202493646083473e-02,-1.665088896864200642e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.032909059763697547e-02,-2.059001180475280961e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.044804866303069082e-02,-1.953409122709176722e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.020492524831584195e-02,-1.560059772755302164e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.044627648235510985e-02,-1.728260923879704637e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.044158973531252553e-02,-1.837134858884342369e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.001619219420578355e-02,-7.860365650835546497e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.020948469495811493e-02,-1.455457747149735154e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.044908793947676995e-02,-1.623992434572778037e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.021433990388851375e-02,-1.351318586866386657e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.064554328062184904e-02,-1.894156912632950687e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.072095342666463773e-02,-1.802927859970121982e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.060923193506248599e-02,-2.067239333056697034e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.002710975410712677e-02,-6.861331553999352280e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.021868502637359767e-02,-1.248943630713404652e-03
3.852315172461189263e-01,1.567831972280428943e+01,1.022715777057470361e-02,-1.147596293108022088e-03
4.019493949504706620e-01,1.518776455835368644e+01,1.023641043149490365e-02,-1.046647324444088508e-03
4.152197164099789006e-01,1.469291716997159014e+01,1.024412408283232982e-02,-9.452616155105191551e-04
4.298882323578894216e-01,1.419623623162349091e+01,1.025291498776813998e-02,-8.440008116875154015e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.044988796669744056e-02,-1.518656147298137618e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.069918027353638883e-02,-1.687941445841529154e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.074296104321579952e-02,-1.979690203024341792e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.087456783621596791e-02,-1.896741026449061873e-03
3.021816274658917223e-02,1.293697799842149010e+01,1.003199431744531897e-02,-5.847371108291400232e-04
4.441026490960204853e-01,1.370340103264483567e+01,1.026162275980691506e-02,-7.439521172295464726e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.045500934801904883e-02,-1.413259861719095211e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.069321107129047287e-02,-1.582529378785301139e-03
7.952304015982782914e-01,1.642383889671659247e+01,1.045965638344405028e-02,-1.309471175488701898e-03
1.719710019260990208e+00,1.882683477713113973e+01,1.099791154177177238e-02,-1.829901872773833120e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.088899544517221880e-02,-2.074603232252823261e-03
4.556153152296005260e-02,1.243633101129515950e+01,1.004165687710299043e-02,-4.847154863793978405e-04
6.505650485206970757e-02,1.193874412405663676e+01,1.005348836800443700e-02,-3.855930122268658340e-04
8.351299073286000407e-02,1.144186637449435651e+01,1.006455235920996998e-02,-2.867872023017369845e-04
4.524969318071505597e-01,1.319515967823735636e+01,1.026719040842635940e-02,-6.411098222886290644e-04
8.055556596365285316e-01,1.593434693313355233e+01,1.046417437154937430e-02,-1.207548447800761877e-03
8.259092084109092013e-01,1.544607123446077601e+01,1.047491004007474608e-02,-1.106479597688646028e-03
8.399171062219110695e-01,1.495112084517530882e+01,1.048251910536944324e-02,-1.004378217096548852e-03
8.528497455404107086e-01,1.445376168039130249e+01,1.048987422844852371e-02,-9.022083375226682810e-04
8.686876196325883370e-01,1.395454822402442296e+01,1.049911115014377783e-02,-8.001130174625992663e-04
1.208599230678750303e+00,1.718561937279882557e+01,1.069631134704308005e-02,-1.475879199458510291e-03
1.640309154242618916e+00,1.842499282476863698e+01,1.094925734745891797e-02,-1.743874987668081076e-03
1.626358391036340834e+00,1.795751811465306247e+01,1.093727313927001996e-02,-1.644855279787386156e-03
1.749965376699130104e+00,1.956699425731710917e+01,1.102328300094187682e-02,-1.986656990809647708e-03
2.036298398502758289e+00,1.915510226709084662e+01,1.117914922281559344e-02,-1.903391615265504931e-03
9.393282445844874928e-02,1.094742152819198644e+01,1.007092226372857842e-02,-1.885617709067681491e-04
