x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.506915367192078289e-03,-1.551216295809988493e-03
2.150677684622799291e-01,1.958417653669586400e+01,9.612937647330468960e-03,-1.487800712720066835e-03
3.125627968666293555e-01,1.864716906470728475e+01,9.651788268555137884e-03,-1.337614960137238152e-03
3.171253586207214425e-01,1.911682022212894339e+01,9.659955966990976459e-03,-1.413845709327950055e-03
3.197227889367013631e-01,1.815502063943323918e+01,9.650648269654836173e-03,-1.258084581079431559e-03
5.000000000000000000e-01,2.000000000000000000e+01,9.769535897826069765e-03,-1.560067241649960293e-03
7.268377157609293704e-01,1.948189336371245162e+01,9.880855909929391404e-03,-1.479952999878109436e-03
3.324799169943588595e-01,1.765661494120666219e+01,9.653562521551497383e-03,-1.177943594325555439e-03
7.477099128314499410e-01,1.841673112457957373e+01,9.879290710797749425e-03,-1.307767373142612556e-03
7.288281609585993692e-01,1.893264419257299380e+01,9.874811613412734501e-03,-1.390972198845048585e-03
6.126140549771008637e-03,1.393883490349006493e+01,9.479087259486420822e-03,-5.899852861774860157e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.658074001613045634e-03,-1.098238102638272960e-03
7.610859817068700295e-01,1.792254221555610627e+01,9.882067063075702235e-03,-1.228137130064091897e-03
3.588043807178813438e-01,1.666021960889865738e+01,9.662886528194157554e-03,-1.018997893748868752e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.006578365583302853e-02,-1.435681100570188311e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.013642083986312885e-02,-1.366301191202360689e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.003188057303143997e-02,-1.567905880449140107e-03
2.360066974684826846e-02,1.344230011818341985e+01,9.489573932550557020e-03,-5.147797283990480401e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.667238033246513054e-03,-9.412104308415962821e-04
3.852315172461189263e-01,1.567831972280428943e+01,9.675456999656426027e-03,-8.643372530173614723e-04
4.019493949504706620e-01,1.518776455835368644e+01,9.684405408437653587e-03,-7.878787903417742251e-04
4.152197164099789006e-01,1.469291716997159014e+01,9.691913309777467483e-03,-7.111894941475529379e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.700415562431088240e-03,-6.347000255383265311e-04
7.692281648677301575e-01,1.742261178628551832e+01,9.883012242857149368e-03,-1.147765663807636272e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.011613748223858487e-02,-1.278302017638505931e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.015703056308678645e-02,-1.501616821745590949e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.028022107087522320e-02,-1.438798598695141019e-03
3.021816274658917223e-02,1.293697799842149010e+01,9.494393659936461657e-03,-4.385121557075843100e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.708823785813110868e-03,-5.592173497273755138e-04
7.834061262387201907e-01,1.692026848054210220e+01,9.888037301365506029e-03,-1.067467237121142061e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.011069280885561888e-02,-1.197771743864044832e-03
7.952304015982782914e-01,1.642383889671659247e+01,9.892638042920549532e-03,-9.884939482145938764e-04
1.719710019260990208e+00,1.882683477713113973e+01,1.039571092911419255e-02,-1.388248794542721026e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.029382836923658021e-02,-1.574932826080477051e-03
4.556153152296005260e-02,1.243633101129515950e+01,9.503648259411918986e-03,-3.633670923478374043e-04
6.505650485206970757e-02,1.193874412405663676e+01,9.514893781960387029e-03,-2.889561019974075796e-04
8.351299073286000407e-02,1.144186637449435651e+01,9.525383313787312220e-03,-2.148210910923402633e-04
4.524969318071505597e-01,1.319515967823735636e+01,9.714276874500209213e-03,-4.817008589940367617e-04
8.055556596365285316e-01,1.593434693313355233e+01,9.897128801597409806e-03,-9.110415610218428268e-04
8.259092084109092013e-01,1.544607123446077601e+01,9.907439798628084326e-03,-8.343687442947805843e-04
8.399171062219110695e-01,1.495112084517530882e+01,9.914826892911421732e-03,-7.569961090186169564e-04
8.528497455404107086e-01,1.445376168039130249e+01,9.921970558007420227e-03,-6.796679460748740508e-04
8.686876196325883370e-01,1.395454822402442296e+01,9.930862504777690503e-03,-6.024939675508731406e-04
1.208599230678750303e+00,1.718561937279882557e+01,1.011378874487048329e-02,-1.116426875269291514e-03
1.640309154242618916e+00,1.842499282476863698e+01,1.035020597205349273e-02,-1.322258073619506959e-03
1.626358391036340834e+00,1.795751811465306247e+01,1.033908436772660103e-02,-1.246543127251166548e-03
1.749965376699130104e+00,1.956699425731710917e+01,1.041948123313544625e-02,-1.508273397558800412e-03
2.036298398502758289e+00,1.915510226709084662e+01,1.056537109000663978e-02,-1.445252169716364828e-03
9.393282445844874928e-02,1.094742152819198644e+01,9.531443679642179895e-03,-1.411444415332850340e-04
4.641804179173796285e-01,1.269801895595811203e+01,9.721408119480634547e-03,-4.062519114093923983e-04
8.754673994819093252e-01,1.345467652379300105e+01,9.935135344157621992e-03,-5.254971448864532990e-04
1.221766762960800889e+00,1.668167315296634712e+01,1.011854607815084427e-02,-1.035884056660795567e-03
1.635070722763060758e+00,1.745296325419825223e+01,1.034035352342917331e-02,-1.165307954892613306e-03
1.231747447719911293e+00,1.618954719858659175e+01,1.012233450440996711e-02,-9.575534075109833846e-04
2.068312481335588870e+00,1.868155847200793573e+01,1.057778591109009673e-02,-1.369082956649072440e-03
1.999999999999971578e+00,2.000000000000000000e+01,1.055557162689001009e-02,-1.581139227978205176e-03
1.083717459485988854e-01,1.044811660397001774e+01,9.539337072378631030e-03,-6.682785582897497853e-05
4.868538278209015857e-01,1.219570057768595639e+01,9.734195379872976131e-03,-3.303722373823797585e-04
5.064911181694888853e-01,1.169699876179332776e+01,9.745243688531685447e-03,-2.552129149070677446e-04
5.202005968038285744e-01,1.120373432965658722e+01,9.753013687498555961e-03,-1.809858950452918318e-04
8.884742515083807746e-01,1.295637945450387107e+01,9.942723112076062505e-03,-4.491416421987799550e-04
1.247280178898389380e+00,1.569780972157349908e+01,1.012960652740519524e-02,-8.797447977307847619e-04
1.263726504782329840e+00,1.520818604837023891e+01,1.013781657634903709e-02,-8.026678684205537477e-04
1.276633041324370055e+00,1.471175150185687386e+01,1.014451848650356307e-02,-7.248634896336860964e-04
1.289750815375310111e+00,1.421359363733669490e+01,1.015160576017017438e-02,-6.471723220316195815e-04
1.301095561947441581e+00,1.371486108896388245e+01,1.015795251264678054e-02,-5.697286130601419626e-04
1.645041148365240957e+00,1.694383546025508380e+01,1.034298304165615946e-02,-1.083597363610010319e-03
2.058453210940839995e+00,1.821660273610089575e+01,1.056878051122181819e-02,-1.293824678283943611e-03
2.063815988053988804e+00,1.772139028509279157e+01,1.056812573214033907e-02,-1.213935212279942293e-03
2.258577074391059369e+00,1.961444062813436418e+01,1.068669974756086133e-02,-1.521936335675501059e-03
2.479110847048140442e+00,1.893005132847154925e+01,1.079592438148355496e-02,-1.413828736537055741e-03
1.214398668547005400e-01,9.948058485410040674e+00,9.546239062928936134e-03,7.594969209658550888e-06
5.316974400276812673e-01,1.070572227832425938e+01,9.759431305918914168e-03,-1.061390025526910447e-04
1.320214494593514587e-01,9.453180679547363852e+00,9.551570972290868156e-03,8.129023905095759332e-05
1.434889760656616886e-01,8.958580059910874027e+00,9.557100190650317378e-03,1.550472656580606620e-04
9.046783535894284967e-01,1.245691416915397198e+01,9.951960376069561923e-03,-3.729149204860630917e-04
