x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.040447702518295173e-02,-2.584423219465067402e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.052326306024042694e-02,-2.478727112807020249e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.056664898670319278e-02,-2.232245648408607078e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.057591504895298920e-02,-2.356888853234752074e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.056508573208899716e-02,-2.101891477771074268e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.069834838603195108e-02,-2.594047235674402235e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.082317351358907942e-02,-2.461120001941730865e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.056793862848120873e-02,-1.970215333916960909e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.082127286046693712e-02,-2.179290892594347787e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.081642309466843317e-02,-2.315651385850511432e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.036750426988033297e-02,-9.965465113395994157e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.057248374635919551e-02,-1.838937320732909973e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.082408753675886438e-02,-2.048632306910670373e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.057729400892638665e-02,-1.708104319180378961e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.103027860962524191e-02,-2.385683603203748657e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.110935926337084864e-02,-2.271000489044465529e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.099203918962298951e-02,-2.602492655931551782e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.037863133485311846e-02,-8.700123253807001168e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.058154632611752084e-02,-1.579349722034348400e-03
3.852315172461189263e-01,1.567831972280428943e+01,1.059010943971595668e-02,-1.451715826376084872e-03
4.019493949504706620e-01,1.518776455835368644e+01,1.059948195828529748e-02,-1.324441516490482531e-03
4.152197164099789006e-01,1.469291716997159014e+01,1.060724012875435829e-02,-1.196493095657696253e-03
4.298882323578894216e-01,1.419623623162349091e+01,1.061613266089707526e-02,-1.068568637179302802e-03
7.692281648677301575e-01,1.742261178628551832e+01,1.082474349696495482e-02,-1.916552629722529516e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.108644914269697572e-02,-2.127128540232485748e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.113237288181781297e-02,-2.492114938319885467e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.127045245058279702e-02,-2.387523856756322473e-03
3.021816274658917223e-02,1.293697799842149010e+01,1.038344977907143009e-02,-7.415077751889121663e-04
4.441026490960204853e-01,1.370340103264483567e+01,1.062496196624299234e-02,-9.420587146802316195e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.082988312357227763e-02,-1.784251559792101064e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.108005470949464423e-02,-1.995060820281596009e-03
7.952304015982782914e-01,1.642383889671659247e+01,1.083449291820607827e-02,-1.653849822019474395e-03
1.719710019260990208e+00,1.882683477713113973e+01,1.139983281215258687e-02,-2.303136366007614740e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.128537806038418072e-02,-2.610019277672750992e-03
4.556153152296005260e-02,1.243633101129515950e+01,1.039332417887782987e-02,-6.146324570584296709e-04
6.505650485206970757e-02,1.193874412405663676e+01,1.040552079240770512e-02,-4.888163515588219744e-04
8.351299073286000407e-02,1.144186637449435651e+01,1.041695983240962728e-02,-3.633516555452798277e-04
4.524969318071505597e-01,1.319515967823735636e+01,1.063050549995405228e-02,-8.119227991277835552e-04
8.055556596365285316e-01,1.593434693313355233e+01,1.083894955464662774e-02,-1.525664333202485278e-03
8.259092084109092013e-01,1.544607123446077601e+01,1.084991507111391154e-02,-1.398389318785763944e-03
8.399171062219110695e-01,1.495112084517530882e+01,1.085759178779475281e-02,-1.269708026530978620e-03
8.528497455404107086e-01,1.445376168039130249e+01,1.086500302431706901e-02,-1.140819762030808194e-03
8.686876196325883370e-01,1.395454822402442296e+01,1.087439991596661319e-02,-1.011901352370285891e-03
1.208599230678750303e+00,1.718561937279882557e+01,1.108312634813899897e-02,-1.861296071242202373e-03
1.640309154242618916e+00,1.842499282476863698e+01,1.134877940621270218e-02,-2.195682710364606563e-03
1.626358391036340834e+00,1.795751811465306247e+01,1.133613263269719548e-02,-2.071710616066307822e-03
1.749965376699130104e+00,1.956699425731710917e+01,1.142634112942890294e-02,-2.499227581706863367e-03
2.036298398502758289e+00,1.915510226709084662e+01,1.158990986193221898e-02,-2.394152661087820856e-03
9.393282445844874928e-02,1.094742152819198644e+01,1.042352288741305553e-02,-2.385938688764324971e-04
4.641804179173796285e-01,1.269801895595811203e+01,1.063800581032240018e-02,-6.850169804568252002e-04
8.754673994819093252e-01,1.345467652379300105e+01,1.087865162920319782e-02,-8.830850246432847333e-04
1.221766762960800889e+00,1.668167315296634712e+01,1.108798966087809999e-02,-1.728570581831841623e-03
1.635070722763060758e+00,1.745296325419825223e+01,1.133725627266030621e-02,-1.938330846711653526e-03
1.231747447719911293e+00,1.618954719858659175e+01,1.109172980353488602e-02,-1.599239172583855539e-03
2.068312481335588870e+00,1.868155847200793573e+01,1.160383886586708636e-02,-2.269299064409495328e-03
1.999999999999971578e+00,2.000000000000000000e+01,1.157858527239683660e-02,-2.616633216157512615e-03
1.083717459485988854e-01,1.044811660397001774e+01,1.043224292952563657e-02,-1.126942841932930463e-04
4.868538278209015857e-01,1.219570057768595639e+01,1.065192417463672186e-02,-5.571609655082204781e-04
5.064911181694888853e-01,1.169699876179332776e+01,1.066397400257338736e-02,-4.303981302273690037e-04
5.202005968038285744e-01,1.120373432965658722e+01,1.067243167600567810e-02,-3.051251379199997516e-04
8.884742515083807746e-01,1.295637945450387107e+01,1.088667466591869588e-02,-7.550850608145974561e-04
1.247280178898389380e+00,1.569780972157349908e+01,1.109934753981123984e-02,-1.470451933840868355e-03
1.263726504782329840e+00,1.520818604837023891e+01,1.110800832325343525e-02,-1.342599528884127124e-03
1.276633041324370055e+00,1.471175150185687386e+01,1.111497207350393632e-02,-1.213299055057537887e-03
1.289750815375310111e+00,1.421359363733669490e+01,1.112238097300947796e-02,-1.083927155393364563e-03
1.301095561947441581e+00,1.371486108896388245e+01,1.112898733988880277e-02,-9.547382288749840752e-04
1.645041148365240957e+00,1.694383546025508380e+01,1.133981798412225621e-02,-1.803933966652663916e-03
2.058453210940839995e+00,1.821660273610089575e+01,1.159365532010417713e-02,-2.146111774339183077e-03
2.063815988053988804e+00,1.772139028509279157e+01,1.159271533633881614e-02,-2.015094970326191184e-03
2.258577074391059369e+00,1.961444062813436418e+01,1.172571451488412485e-02,-2.518119116693575462e-03
2.479110847048140442e+00,1.893005132847154925e+01,1.184830416238509022e-02,-2.339869567303902269e-03
1.214398668547005400e-01,9.948058485410040674e+00,1.043995388655091609e-02,1.339343483378631847e-05
5.316974400276812673e-01,1.070572227832425938e+01,1.067945859505528734e-02,-1.787401813172595868e-04
1.320214494593514587e-01,9.453180679547363852e+00,1.044600465173644611e-02,1.382241603217338583e-04
1.434889760656616886e-01,8.958580059910874027e+00,1.045237683713543496e-02,2.630958969069858836e-04
9.046783535894284967e-01,1.245691416915397198e+01,1.089660941293662047e-02,-6.270994352715673729e-04
1.312355148759518642e+00,1.321668213778762180e+01,1.113570704067646036e-02,-8.260193064490926581e-04
1.657946755111389336e+00,1.644613137774738831e+01,1.134485428989877309e-02,-1.672834958221333223e-03
2.073075564774370605e+00,1.721088302092289624e+01,1.159459515515718492e-02,-1.880163521567667110e-03
1.669942107129180897e+00,1.595554498459488357e+01,1.134997018730017279e-02,-1.543879992099131534e-03
2.515198671144581510e+00,1.932125572891566279e+01,1.187338651435889021e-02,-2.443628402198086240e-03
2.484540041142739852e+00,1.847099227882669581e+01,1.184729201095752020e-02,-2.218508156141536878e-03
2.499999999999971578e+00,2.000000000000000000e+01,1.187162798941543244e-02,-2.622457809011599379e-03
5.447558295283307928e-01,1.020506221976687300e+01,1.068724393287650773e-02,-5.172826282576806325e-05
9.255088162916109695e-01,1.195723368857222368e+01,1.090924550447444283e-02,-4.993064611654643567e-04
9.435063726166710296e-01,1.146075051657321886e+01,1.092015799495199557e-02,-3.724707926748536697e-04
9.554959588073117516e-01,1.096434825838919203e+01,1.092745502478262472e-02,-2.457427060255930437e-04
1.549413094449612061e-01,8.464001567209125554e+00,1.045856600286169773e-02,3.881355090076805243e-04
1.664340889617186292e-01,7.969147928265393865e+00,1.046463534422322969e-02,5.134790080557023262e-04
1.757631272507609310e-01,7.474202872918199958e+00,1.046933858368857655e-02,6.391209390408931872e-04
1.324817738544830092e+00,1.271837430539237879e+01,1.114323291283282613e-02,-6.975608220182249282e-04
1.688039297409169137e+00,1.546662213754990844e+01,1.135919915250763711e-02,-1.415745207460101986e-03
1.701837686672359240e+00,1.497121799752560989e+01,1.136629725525402194e-02,-1.286176681475453311e-03
1.713779154853639852e+00,1.447309659340662868e+01,1.137264917936631897e-02,-1.156204887960720880e-03
1.725295010958770803e+00,1.397450957870726995e+01,1.137903304140457268e-02,-1.026429200076499782e-03
1.737138492985689453e+00,1.347633721949444841e+01,1.138582082922532691e-02,-8.970662475311358538e-04
2.084921490552900991e+00,1.670310670318391288e+01,1.159864288292154245e-02,-1.746143670617982067e-03
2.492763474021678860e+00,1.798473459041316147e+01,1.184811506653975915e-02,-2.089907620913666192e-03
2.504376294631260436e+00,1.748473180541414962e+01,1.185133112369153238e-02,-1.957703742288922476e-03
2.746469545387260069e+00,1.963623371240122495e+01,1.201238268505514482e-02,-2.529208415987291726e-03
2.865494325745238768e+00,1.921722713138785110e+01,1.207834455577482154e-02,-2.419817554454339967e-03
2.904821164417960233e+00,1.873417209260031058e+01,1.209723108067347827e-02,-2.292534486143799413e-03
5.557504832974693443e-01,9.709744977762118978e+00,1.069366127710576209e-02,7.394765906954676971e-05
9.674276846195901669e-01,1.046565072997089629e+01,1.093461456069655391e-02,-1.184992834522853030e-04
1.806555193203891463e-01,6.977687602758225971e+00,1.047138771096371365e-02,7.654629608306433037e-04
5.665777890415988338e-01,9.215233863136479187e+00,1.069982385633768893e-02,1.994906515978787920e-04
5.790717478401106177e-01,8.720447584805169683e+00,1.070681962379547471e-02,3.252410165966315519e-04
1.346187436996999054e+00,1.221600444999370616e+01,1.115603813658247456e-02,-5.683532363523483488e-04
1.749766676474710181e+00,1.297755634781376699e+01,1.139321868597673558e-02,-7.678236956115312099e-04
2.097105134446511698e+00,1.621456207896205726e+01,1.160355123536257159e-02,-1.617412410356595638e-03
2.513724930182998918e+00,1.697385224176804996e+01,1.185367661119165160e-02,-1.822670174952811979e-03
2.110822743329720197e+00,1.572024871910752353e+01,1.160983181832280983e-02,-1.487417942542549861e-03
2.919010372041579870e+00,1.824416516978921265e+01,1.210163842215325990e-02,-2.163046750984578409e-03
2.999999999999989342e+00,2.000000000000000000e+01,1.216457448151763397e-02,-2.627530783041356031e-03
9.793303415694687430e-01,9.966746310614167825e+00,1.094164289829390596e-02,8.784183216809166974e-06
1.365335788556180319e+00,1.171703365623316273e+01,1.116753308009073992e-02,-4.401748432117666768e-04
1.379709196794070891e+00,1.122314477755516826e+01,1.117618133937734771e-02,-3.134034823596902435e-04
1.391336674510959881e+00,1.072416453777604239e+01,1.118315633181608121e-02,-1.854041267443845347e-04
5.907768319339012919e-01,8.225992817147767866e+00,1.071323858062386662e-02,4.510954634853517591e-04
6.017343754683288637e-01,7.730245809651751010e+00,1.071913753004886082e-02,5.775207786141533899e-04
6.126964879799707830e-01,7.233269104047975517e+00,1.072499954229000872e-02,7.045583489641042349e-04
1.824918598664204694e-01,6.480728740496124018e+00,1.047165335062661025e-02,8.922702849803009883e-04
1.765378878124170825e+00,1.247686978662020429e+01,1.140246370024658971e-02,-6.383445136893987426e-04
2.126000569899968440e+00,1.522850482707396935e+01,1.161741707864065963e-02,-1.358379837774833935e-03
2.138695228611858568e+00,1.473183938625084544e+01,1.162389068370341290e-02,-1.228298712717854633e-03
2.150478776028990069e+00,1.423363888738580130e+01,1.163013140070782298e-02,-1.098088426390331131e-03
2.162122301891841403e+00,1.373536872516958773e+01,1.163653469172478035e-02,-9.681309297495362468e-04
2.174027188495760043e+00,1.323712894867404444e+01,1.164327819670101308e-02,-8.384368100974355512e-04
2.523471669211740931e+00,1.647780374393046188e+01,1.185685867118706736e-02,-1.691697524789420072e-03
2.930857007916120693e+00,1.774474915193863112e+01,1.210499948480161896e-02,-2.030985594789245108e-03
2.942508668158328788e+00,1.724302779973567112e+01,1.210867593382360281e-02,-1.898314992228490247e-03
3.279354362078699126e+00,1.954414606655349473e+01,1.232436494663394916e-02,-2.509930674892763697e-03
3.321124520194761232e+00,1.900368128024895498e+01,1.234447570649793019e-02,-2.367596442181185354e-03
3.343822381848610803e+00,1.850240879979484632e+01,1.235399435052389472e-02,-2.235279240951328940e-03
9.901718473367289164e-01,9.471879091192764832e+00,1.094792964359637619e-02,1.350770161079243963e-04
1.403093656559111224e+00,1.022416677537200158e+01,1.119013405920003465e-02,-5.718441451562084326e-05
6.150984475223495451e-01,6.738412453890960663e+00,1.072585843585560292e-02,8.313129549091101845e-04
1.002281621738571715e+00,8.977235117740526960e+00,1.095485075755269107e-02,2.614091310103823832e-04
1.014788183830301449e+00,8.483256496880869690e+00,1.096191644482889631e-02,3.877243935764965784e-04
1.903506586932302014e-01,5.982393936322146999e+00,1.047554412089589208e-02,1.019952964507611767e-03
1.785587871640149871e+00,1.197703061190116713e+01,1.141446256899219906e-02,-5.092926257900712945e-04
2.186479802068269862e+00,1.273821505820302491e+01,1.165047836105707023e-02,-7.087965887072476996e-04
2.539049106382520904e+00,1.598318020911725235e+01,1.186396543258399182e-02,-1.561341083491905391e-03
2.953971019792341224e+00,1.674314075920728939e+01,1.211269750598283589e-02,-1.766190858990212024e-03
2.551874877894359628e+00,1.548744309062730906e+01,1.186986392176266752e-02,-1.430868212935164580e-03
3.357083834146799006e+00,1.800502307920974943e+01,1.235830649152106810e-02,-2.103796362876190259e-03
3.499999999999971578e+00,2.000000000000000000e+01,1.245759256605413062e-02,-2.631860869817283927e-03
1.414119592978810402e+00,9.728056446467022056e+00,1.119660371622197351e-02,7.004914950260561425e-05
1.803520846354150109e+00,1.147995386815809482e+01,1.142513021127569174e-02,-3.810769909261622467e-04
1.815373221802641268e+00,1.098339880838394400e+01,1.143219870133586370e-02,-2.530709133902302459e-04
