x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.632738042149568622e-03,-1.428447608339130162e-03
2.150677684622799291e-01,1.958417653669586400e+01,9.739785969961218051e-03,-1.370086825434889671e-03
3.125627968666293555e-01,1.864716906470728475e+01,9.779036588228562712e-03,-1.231247214025711851e-03
3.171253586207214425e-01,1.911682022212894339e+01,9.787262777932398752e-03,-1.301794179259913769e-03
3.197227889367013631e-01,1.815502063943323918e+01,9.777931336329086232e-03,-1.157695062965311168e-03
5.000000000000000000e-01,2.000000000000000000e+01,9.897948533305353166e-03,-1.437425839788028601e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.001032621080904031e-02,-1.363597744676234985e-03
3.324799169943588595e-01,1.765661494120666219e+01,9.780937591276468723e-03,-1.083626437263748507e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.000877134701711434e-02,-1.204293742698142296e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.000422109242255116e-02,-1.281246866425971541e-03
6.126140549771008637e-03,1.393883490349006493e+01,9.605522954554244694e-03,-5.413645292970576967e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.785570641245296825e-03,-1.010008396991824136e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.001162177920789792e-02,-1.130668226813646461e-03
3.588043807178813438e-01,1.666021960889865738e+01,9.790516665217061099e-03,-9.368689589030812764e-04
1.085692806363770302e+00,1.917436296054636102e+01,1.019704689683804087e-02,-1.323122119779061379e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.026837461058177636e-02,-1.259112546024870449e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.016286071765576220e-02,-1.445392647135066658e-03
2.360066974684826846e-02,1.344230011818341985e+01,9.616203055170769246e-03,-4.723126780910486574e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.795002684894211359e-03,-8.651189489696575275e-04
3.852315172461189263e-01,1.567831972280428943e+01,9.803397929292414006e-03,-7.942727931599098765e-04
4.019493949504706620e-01,1.518776455835368644e+01,9.812530535423254208e-03,-7.238592861058329095e-04
4.152197164099789006e-01,1.469291716997159014e+01,9.820208797525186925e-03,-6.532770226659184720e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.828887019906298525e-03,-5.829265627797421828e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.001263876252646116e-02,-1.056387241761060818e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.024792741506280920e-02,-1.177664531956500258e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.028919415240488709e-02,-1.384369084519996998e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.041356032265478362e-02,-1.326537981778342463e-03
