x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.136367904429249481e-02,-1.723639587805664937e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.149009141593308227e-02,-1.653196324800396220e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.153647868206032247e-02,-1.485827902032529077e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.154617602003840150e-02,-1.570844429843892527e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.153517575360926695e-02,-1.397179958417617968e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.167677991898444408e-02,-1.734189116808902958e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.180949774991632388e-02,-1.645106363617154744e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.153871780914240627e-02,-1.307894733400091292e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.180770189089900939e-02,-1.453123275434009976e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.180232119267245541e-02,-1.545870282158556472e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.133142980646180582e-02,-6.538938753418980414e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.154417167733110157e-02,-1.219137391603351871e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.181106613773002037e-02,-1.364384598268972076e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.154999219655780673e-02,-1.130942146094150681e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.202996000935862425e-02,-1.596160132230366960e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.211418520909773866e-02,-1.518964951496157290e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.198954261206596969e-02,-1.743542490401773495e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.134401312873089575e-02,-5.705181749403702429e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.155526468874133739e-02,-1.044408717914870706e-03
3.852315172461189263e-01,1.567831972280428943e+01,1.156514960442597308e-02,-9.589480827404244781e-04
4.019493949504706620e-01,1.518776455835368644e+01,1.157590685917046086e-02,-8.739938362213457409e-04
4.152197164099789006e-01,1.469291716997159014e+01,1.158494644541914302e-02,-7.888228611873638295e-04
4.298882323578894216e-01,1.419623623162349091e+01,1.159516741176207580e-02,-7.039174915618077273e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.181225942637684732e-02,-1.274847148365149552e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.209004986696437557e-02,-1.420823590201477412e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.213872833526996597e-02,-1.669894595459558723e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.228558023506118660e-02,-1.600105450716488541e-03
3.021816274658917223e-02,1.293697799842149010e+01,1.134983503625927072e-02,-4.859905846386959084e-04
4.441026490960204853e-01,1.370340103264483567e+01,1.160527030682236699e-02,-6.201665479103109918e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.181832238004010618e-02,-1.185435684855813427e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.208361370327524012e-02,-1.331068428005582937e-03
7.952304015982782914e-01,1.642383889671659247e+01,1.182388304882791598e-02,-1.097539462138670671e-03
1.719710019260990208e+00,1.882683477713113973e+01,1.242325741763029845e-02,-1.543975648871545418e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.230181810779489536e-02,-1.751948494788435401e-03
4.556153152296005260e-02,1.243633101129515950e+01,1.136093316723529173e-02,-4.027427879911218847e-04
6.505650485206970757e-02,1.193874412405663676e+01,1.137439263275455067e-02,-3.203338191827661196e-04
8.351299073286000407e-02,1.144186637449435651e+01,1.138693812969100196e-02,-2.382466228225754506e-04
4.524969318071505597e-01,1.319515967823735636e+01,1.161184556864024511e-02,-5.341897238063760727e-04
