x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.612028658856885607e-03,-2.116220291859932309e-03
2.150677684622799291e-01,1.958417653669586400e+01,9.720844654553932943e-03,-2.029653800875686701e-03
3.125627968666293555e-01,1.864716906470728475e+01,9.760613679493183523e-03,-1.827007602788179247e-03
3.171253586207214425e-01,1.911682022212894339e+01,9.769082326929152266e-03,-1.929578049226745445e-03
3.197227889367013631e-01,1.815502063943323918e+01,9.759260294538833064e-03,-1.719800620072287414e-03
5.000000000000000000e-01,2.000000000000000000e+01,9.881385170942263291e-03,-2.125141842336406885e-03
7.268377157609293704e-01,1.948189336371245162e+01,9.995698772157829773e-03,-2.016145246243499986e-03
3.324799169943588595e-01,1.765661494120666219e+01,9.762004736824285087e-03,-1.611573956585158566e-03
7.477099128314499410e-01,1.841673112457957373e+01,9.993979484562284452e-03,-1.784292610077534971e-03
7.288281609585993692e-01,1.893264419257299380e+01,9.989492023595383449e-03,-1.896440845276224554e-03
6.126140549771008637e-03,1.393883490349006493e+01,9.579962669305162534e-03,-8.129275914781618770e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.766331719547898318e-03,-1.503741836369279885e-03
7.610859817068700295e-01,1.792254221555610627e+01,9.996648074598315711e-03,-1.676864010478973073e-03
3.588043807178813438e-01,1.666021960889865738e+01,9.770928133857990569e-03,-1.396343335439293506e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.018546205869163591e-02,-1.954707423753736933e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.025792905871969474e-02,-1.860592800170417444e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.015053778950405355e-02,-2.132992377018282266e-03
2.360066974684826846e-02,1.344230011818341985e+01,9.590358534545248559e-03,-7.095560042920995205e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.775028031303385073e-03,-1.290719123567677642e-03
3.852315172461189263e-01,1.567831972280428943e+01,9.783084071014044522e-03,-1.186096838231145284e-03
4.019493949504706620e-01,1.518776455835368644e+01,9.791883394684680261e-03,-1.081838346196077995e-03
4.152197164099789006e-01,1.469291716997159014e+01,9.799202178937285040e-03,-9.770882134095694015e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.807551519221196709e-03,-8.724206621811261744e-04
7.692281648677301575e-01,1.742261178628551832e+01,9.997376974075601955e-03,-1.568312230437579266e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.023699374387910220e-02,-1.742195033921411888e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.027905367345883364e-02,-2.042574632464805046e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.040553187790890094e-02,-1.956895487475534927e-03
3.021816274658917223e-02,1.293697799842149010e+01,9.594961919440612996e-03,-6.046133293397784776e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.815831417364131659e-03,-7.689670946239055655e-04
