x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.071173732149823844e-02,-1.546602122312910887e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.083065898096175275e-02,-1.483400237399533144e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.087426293124029233e-02,-1.332836133958542613e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.088340043365470730e-02,-1.409364607558125527e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.087304934621963030e-02,-1.253064596729531587e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.100641566480022385e-02,-1.556596303510280428e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.113125638181917954e-02,-1.476608591603668095e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.087641276069895718e-02,-1.172749208710624144e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.112952474074955199e-02,-1.303807090995123688e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.112446329136338244e-02,-1.387271828729976821e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.068178747896707768e-02,-5.851197515279846391e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.088158885979902991e-02,-1.092936740898285079e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.113270767834362990e-02,-1.223960697754509185e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.088711806356166233e-02,-1.013658731148614923e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.133871342843585130e-02,-1.432857156056827237e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.141796208668400744e-02,-1.363480250662097446e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.130075520674709427e-02,-1.565465854555862530e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.069368655126539183e-02,-5.103855935318382881e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.089213664396830421e-02,-9.359023011044093759e-04
3.852315172461189263e-01,1.567831972280428943e+01,1.090149907010563683e-02,-8.591445859774551972e-04
4.019493949504706620e-01,1.518776455835368644e+01,1.091168143350910655e-02,-7.828713492970279129e-04
4.152197164099789006e-01,1.469291716997159014e+01,1.092024728633133115e-02,-7.064291136256142974e-04
4.298882323578894216e-01,1.419623623162349091e+01,1.092992298589818591e-02,-6.302525317385961707e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.113386109203722170e-02,-1.143413036982769086e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.139525153516036601e-02,-1.275120453138642090e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.144110697539346862e-02,-1.499370437005382055e-03
