x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,7.878190362052991946e-03,-1.031704854433151443e-03
2.150677684622799291e-01,1.958417653669586400e+01,7.965420493622914211e-03,-9.895606692466481225e-04
3.125627968666293555e-01,1.864716906470728475e+01,7.997443912942372654e-03,-8.886518028905787420e-04
3.171253586207214425e-01,1.911682022212894339e+01,8.004118034035539314e-03,-9.400030327883542990e-04
3.197227889367013631e-01,1.815502063943323918e+01,7.996594933973189684e-03,-8.351639903017278686e-04
5.000000000000000000e-01,2.000000000000000000e+01,8.094329198889029311e-03,-1.039050713623619528e-03
7.268377157609293704e-01,1.948189336371245162e+01,8.185884402115884903e-03,-9.856304002399778053e-04
3.324799169943588595e-01,1.765661494120666219e+01,7.999112541423493775e-03,-7.813511508907022840e-04
7.477099128314499410e-01,1.841673112457957373e+01,8.184659167938182836e-03,-8.697130373803261963e-04
7.288281609585993692e-01,1.893264419257299380e+01,8.180918361378543974e-03,-9.256798007535356346e-04
6.126140549771008637e-03,1.393883490349006493e+01,7.856931358336202015e-03,-3.885639822491800772e-04
3.462454528261709186e-01,1.715835398417801372e+01,8.002967524494539533e-03,-7.279150411508776130e-04
7.610859817068700295e-01,1.792254221555610627e+01,8.187032335694177654e-03,-8.161914141236039722e-04
3.588043807178813438e-01,1.666021960889865738e+01,8.007086197815019638e-03,-6.748763553474369488e-04
1.085692806363770302e+00,1.917436296054636102e+01,8.338032026942441763e-03,-9.566715193816060581e-04
1.229153078410270439e+00,1.873248263188046536e+01,8.396160477098785560e-03,-9.102786191507483997e-04
9.999999999999893419e-01,2.000000000000000000e+01,8.310202386688907497e-03,-1.045580031320936026e-03
2.360066974684826846e-02,1.344230011818341985e+01,7.865721453269950217e-03,-3.388598312876296096e-04
3.689567595568306047e-01,1.616831246226082541e+01,8.010833696033649309e-03,-6.228955667936520975e-04
3.852315172461189263e-01,1.567831972280428943e+01,8.017767398104716156e-03,-5.716310464717927389e-04
4.019493949504706620e-01,1.518776455835368644e+01,8.025302665389304202e-03,-5.207311784620640002e-04
4.152197164099789006e-01,1.469291716997159014e+01,8.031653050725565818e-03,-4.697543046889286712e-04
4.298882323578894216e-01,1.419623623162349091e+01,8.038814740931293779e-03,-4.189932945101280818e-04
7.692281648677301575e-01,1.742261178628551832e+01,8.187926015650466918e-03,-7.622242985843636536e-04
1.200283162850748653e+00,1.819110516899724672e+01,8.379535791891714117e-03,-8.509819042070019190e-04
1.250000000000021316e+00,1.956698729810777593e+01,8.413122141165990664e-03,-1.001487300261208599e-03
1.493645076688999040e+00,1.915780731645812551e+01,8.514445158103975050e-03,-9.596986593216260894e-04
3.021816274658917223e-02,1.293697799842149010e+01,7.869839529073023240e-03,-2.885019992648383907e-04
4.441026490960204853e-01,1.370340103264483567e+01,8.045887746425553141e-03,-3.689715380305983198e-04
7.834061262387201907e-01,1.692026848054210220e+01,8.192196257389653541e-03,-7.083982262762109332e-04
1.197082458876931099e+00,1.769236410254564618e+01,8.375144893910715579e-03,-7.968297738210292644e-04
7.952304015982782914e-01,1.642383889671659247e+01,8.196128785944322218e-03,-6.555363147349593063e-04
1.719710019260990208e+00,1.882683477713113973e+01,8.609452626838596731e-03,-9.261293159844853585e-04
1.499999999999989342e+00,2.000000000000000000e+01,8.525720489384104941e-03,-1.051449746533832672e-03
4.556153152296005260e-02,1.243633101129515950e+01,7.877583108459646280e-03,-2.389538303045786189e-04
6.505650485206970757e-02,1.193874412405663676e+01,7.886940603648877682e-03,-1.899363785522172206e-04
8.351299073286000407e-02,1.144186637449435651e+01,7.895652547481323696e-03,-1.411310088251265438e-04
4.524969318071505597e-01,1.319515967823735636e+01,8.050522647458747266e-03,-3.176595792641963723e-04
8.055556596365285316e-01,1.593434693313355233e+01,8.199977374489483481e-03,-6.037718411255842393e-04
8.259092084109092013e-01,1.544607123446077601e+01,8.208615970276023424e-03,-5.526299908053047827e-04
8.399171062219110695e-01,1.495112084517530882e+01,8.214852606788551614e-03,-5.010862387823390414e-04
8.528497455404107086e-01,1.445376168039130249e+01,8.220886617286145975e-03,-4.496470918952535185e-04
8.686876196325883370e-01,1.395454822402442296e+01,8.228350601589381336e-03,-3.983876145712304871e-04
1.208599230678750303e+00,1.718561937279882557e+01,8.377804161819359108e-03,-7.422277335919127278e-04
1.640309154242618916e+00,1.842499282476863698e+01,8.572046351875011599e-03,-8.815344500249477607e-04
1.626358391036340834e+00,1.795751811465306247e+01,8.562955686404378347e-03,-8.305617473215254690e-04
1.749965376699130104e+00,1.956699425731710917e+01,8.629028537786145869e-03,-1.007052038573743842e-03
2.036298398502758289e+00,1.915510226709084662e+01,8.749007345576839331e-03,-9.651631257259645803e-04
9.393282445844874928e-02,1.094742152819198644e+01,7.900697678314425390e-03,-9.264552770572203385e-05
4.641804179173796285e-01,1.269801895595811203e+01,8.056518319145186333e-03,-2.677796312573038607e-04
8.754673994819093252e-01,1.345467652379300105e+01,8.232007115908771683e-03,-3.472969920725315230e-04
1.221766762960800889e+00,1.668167315296634712e+01,8.381845535080610643e-03,-6.882396553115656401e-04
1.635070722763060758e+00,1.745296325419825223e+01,8.564085959049007671e-03,-7.759746474360955338e-04
1.231747447719911293e+00,1.618954719858659175e+01,8.385097406550839211e-03,-6.358014019448880380e-04
2.068312481335588870e+00,1.868155847200793573e+01,8.759221007528926461e-03,-9.139218849074136689e-04
1.999999999999971578e+00,2.000000000000000000e+01,8.741036147433513953e-03,-1.056651066077346100e-03
1.083717459485988854e-01,1.044811660397001774e+01,7.907224016158178118e-03,-4.375357306492506877e-05
4.868538278209015857e-01,1.219570057768595639e+01,8.067145703743014776e-03,-2.176746784399704660e-04
5.064911181694888853e-01,1.169699876179332776e+01,8.076321105095880803e-03,-1.680766612874984691e-04
5.202005968038285744e-01,1.120373432965658722e+01,8.082778240853169538e-03,-1.191150236594088916e-04
8.884742515083807746e-01,1.295637945450387107e+01,8.238374689099995513e-03,-2.966995849650865555e-04
1.247280178898389380e+00,1.569780972157349908e+01,8.391221648807338507e-03,-5.837984565688079984e-04
1.263726504782329840e+00,1.520818604837023891e+01,8.398118910382836380e-03,-5.323579599833275439e-04
1.276633041324370055e+00,1.471175150185687386e+01,8.403777155460888382e-03,-4.804966148690644791e-04
1.289750815375310111e+00,1.421359363733669490e+01,8.409747980184787905e-03,-4.287801518818500036e-04
1.301095561947441581e+00,1.371486108896388245e+01,8.415101994563068538e-03,-3.772892296513310454e-04
1.645041148365240957e+00,1.694383546025508380e+01,8.566355882480052031e-03,-7.211317617413189659e-04
2.058453210940839995e+00,1.821660273610089575e+01,8.751845007981977342e-03,-8.632422039412459029e-04
2.063815988053988804e+00,1.772139028509279157e+01,8.751366948682965524e-03,-8.095133101370292168e-04
2.258577074391059369e+00,1.961444062813436418e+01,8.848837972858651299e-03,-1.017245083169406646e-03
2.479110847048140442e+00,1.893005132847154925e+01,8.938633159915403484e-03,-9.448096738073157291e-04
1.214398668547005400e-01,9.948058485410040674e+00,7.912909203636346589e-03,5.206003728822545834e-06
5.316974400276812673e-01,1.070572227832425938e+01,8.088100923450542573e-03,-6.976195029338004984e-05
1.320214494593514587e-01,9.453180679547363852e+00,7.917277388116919154e-03,5.369420799292954515e-05
1.434889760656616886e-01,8.958580059910874027e+00,7.921782070086777136e-03,1.022398642006630386e-04
9.046783535894284967e-01,1.245691416915397198e+01,8.246083588702646933e-03,-2.462409643908850757e-04
1.312355148759518642e+00,1.321668213778762180e+01,8.420499286714412321e-03,-3.261304497236697047e-04
1.657946755111389336e+00,1.644613137774738831e+01,8.570489044474877485e-03,-6.678143735547354028e-04
2.073075564774370605e+00,1.721088302092289624e+01,8.753049810967077071e-03,-7.543234734691893050e-04
1.669942107129180897e+00,1.595554498459488357e+01,8.574712036051600900e-03,-6.155305287587172413e-04
2.515198671144581510e+00,1.932125572891566279e+01,8.957116291685305459e-03,-9.876795702709157635e-04
2.484540041142739852e+00,1.847099227882669581e+01,8.937901883375773404e-03,-8.949153665853156305e-04
2.499999999999971578e+00,2.000000000000000000e+01,8.956155304153799734e-03,-1.061287375007836150e-03
5.447558295283307928e-01,1.020506221976687300e+01,8.093885606663756005e-03,-2.018579068802436662e-05
9.255088162916109695e-01,1.195723368857222368e+01,8.255698417549568388e-03,-1.959655698941258528e-04
9.435063726166710296e-01,1.146075051657321886e+01,8.263972208591289711e-03,-1.461329592800356852e-04
9.554959588073117516e-01,1.096434825838919203e+01,8.269520554083583525e-03,-9.638678821073387310e-05
1.549413094449612061e-01,8.464001567209125554e+00,7.926057569261825420e-03,1.509175493992838846e-04
1.664340889617186292e-01,7.969147928265393865e+00,7.930154626087175182e-03,1.998048515045956612e-04
1.757631272507609310e-01,7.474202872918199958e+00,7.933168279807880849e-03,2.489180275066237599e-04
1.324817738544830092e+00,1.271837430539237879e+01,8.426437119382339247e-03,-2.752055429718178897e-04
1.688039297409169137e+00,1.546662213754990844e+01,8.581969343828323507e-03,-5.637730032956016907e-04
1.701837686672359240e+00,1.497121799752560989e+01,8.587677249817668446e-03,-5.115803255189865263e-04
