x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,8.589834815194515374e-03,-1.532012129065776860e-03
2.150677684622799291e-01,1.958417653669586400e+01,8.685993748918216864e-03,-1.469361519758466059e-03
3.125627968666293555e-01,1.864716906470728475e+01,8.721212133088808091e-03,-1.321555559017619820e-03
3.171253586207214425e-01,1.911682022212894339e+01,8.728635337078807788e-03,-1.396510180208985650e-03
3.197227889367013631e-01,1.815502063943323918e+01,8.720136771998314093e-03,-1.243310760228549458e-03
5.000000000000000000e-01,2.000000000000000000e+01,8.827966443658368315e-03,-1.539997507465484545e-03
7.268377157609293704e-01,1.948189336371245162e+01,8.928948003656612259e-03,-1.460941847487192075e-03
3.324799169943588595e-01,1.765661494120666219e+01,8.722720674374859554e-03,-1.164419538598783065e-03
7.477099128314499410e-01,1.841673112457957373e+01,8.927513569224620332e-03,-1.291598901498847932e-03
7.288281609585993692e-01,1.893264419257299380e+01,8.923475619585627752e-03,-1.373454268847093974e-03
6.126140549771008637e-03,1.393883490349006493e+01,8.563789748961164391e-03,-5.845694114659750681e-04
3.462454528261709186e-01,1.715835398417801372e+01,8.726740969721868968e-03,-1.085912602416707739e-03
7.610859817068700295e-01,1.792254221555610627e+01,8.929989423201533869e-03,-1.213238068823331312e-03
3.588043807178813438e-01,1.666021960889865738e+01,8.731025135303209506e-03,-1.007818923155098106e-03
1.085692806363770302e+00,1.917436296054636102e+01,9.096663777974705115e-03,-1.416961314330440584e-03
1.229153078410270439e+00,1.873248263188046536e+01,9.160723558171117789e-03,-1.348561891352007035e-03
9.999999999999893419e-01,2.000000000000000000e+01,9.065870005260729531e-03,-1.547060078588963303e-03
2.360066974684826846e-02,1.344230011818341985e+01,8.573216121869490017e-03,-5.101177591031074484e-04
3.689567595568306047e-01,1.616831246226082541e+01,8.734885175134298949e-03,-9.311120269228061056e-04
3.852315172461189263e-01,1.567831972280428943e+01,8.742249823484149474e-03,-8.552508778096378026e-04
4.019493949504706620e-01,1.518776455835368644e+01,8.750275254625990498e-03,-7.797526824252754528e-04
4.152197164099789006e-01,1.469291716997159014e+01,8.756994750017904269e-03,-7.039860075635592405e-04
4.298882323578894216e-01,1.419623623162349091e+01,8.764618917675815607e-03,-6.283731049225841801e-04
7.692281648677301575e-01,1.742261178628551832e+01,8.930789244743452676e-03,-1.134118359804896746e-03
1.200283162850748653e+00,1.819110516899724672e+01,9.142301681238548458e-03,-1.262043634121795673e-03
1.250000000000021316e+00,1.956698729810777593e+01,9.179398050384051169e-03,-1.481588934825573117e-03
1.493645076688999040e+00,1.915780731645812551e+01,9.291143047750426848e-03,-1.419544951263806455e-03
3.021816274658917223e-02,1.293697799842149010e+01,8.577509070781386483e-03,-4.345895283543489696e-04
4.441026490960204853e-01,1.370340103264483567e+01,8.772164133315860785e-03,-5.537175631404099661e-04
7.834061262387201907e-01,1.692026848054210220e+01,8.935278326092265661e-03,-1.055022310156141950e-03
1.197082458876931099e+00,1.769236410254564618e+01,9.137321941074007248e-03,-1.182809003762945845e-03
7.952304015982782914e-01,1.642383889671659247e+01,8.939374931956109438e-03,-9.771920638846950512e-04
1.719710019260990208e+00,1.882683477713113973e+01,9.395887468821232172e-03,-1.369590294982870118e-03
1.499999999999989342e+00,2.000000000000000000e+01,9.303424162947339024e-03,-1.553379180142453386e-03
4.556153152296005260e-02,1.243633101129515950e+01,8.585837097189647632e-03,-3.601356644033325153e-04
6.505650485206970757e-02,1.193874412405663676e+01,8.595983334176972301e-03,-2.863840423894006251e-04
8.351299073286000407e-02,1.144186637449435651e+01,8.605456629689268652e-03,-2.128901889041951595e-04
4.524969318071505597e-01,1.319515967823735636e+01,8.777033392084774427e-03,-4.770199516459335183e-04
8.055556596365285316e-01,1.593434693313355233e+01,8.943368300384028566e-03,-9.008193485010113294e-04
8.259092084109092013e-01,1.544607123446077601e+01,8.952638516233775087e-03,-8.251608151182929793e-04
8.399171062219110695e-01,1.495112084517530882e+01,8.959255491038884203e-03,-7.487775806518179181e-04
8.528497455404107086e-01,1.445376168039130249e+01,8.965653095568515418e-03,-6.723986670723991043e-04
8.686876196325883370e-01,1.395454822402442296e+01,8.973640380161818433e-03,-5.961314615794401041e-04
1.208599230678750303e+00,1.718561937279882557e+01,9.140074062731101331e-03,-1.102720580742973418e-03
1.640309154242618916e+00,1.842499282476863698e+01,9.354607432313800236e-03,-1.304774950361686564e-03
1.626358391036340834e+00,1.795751811465306247e+01,9.344495264537650003e-03,-1.230307946852001030e-03
1.749965376699130104e+00,1.956699425731710917e+01,9.417423545703688254e-03,-1.487569052496906562e-03
2.036298398502758289e+00,1.915510226709084662e+01,9.549760278343893960e-03,-1.425308259287608658e-03
9.393282445844874928e-02,1.094742152819198644e+01,8.610924875272759488e-03,-1.398415450655355718e-04
4.641804179173796285e-01,1.269801895595811203e+01,8.783435956039531423e-03,-4.023342414791642070e-04
8.754673994819093252e-01,1.345467652379300105e+01,8.977442989917917143e-03,-5.200120063248258977e-04
1.221766762960800889e+00,1.668167315296634712e+01,9.144323563004482652e-03,-1.023382616078295131e-03
1.635070722763060758e+00,1.745296325419825223e+01,9.345604662645808428e-03,-1.150358325391459199e-03
1.231747447719911293e+00,1.618954719858659175e+01,9.147689220116472439e-03,-9.461883563724102480e-04
2.068312481335588870e+00,1.868155847200793573e+01,9.561026520481359647e-03,-1.350376386348777977e-03
1.999999999999971578e+00,2.000000000000000000e+01,9.540809535491920693e-03,-1.558951392279550683e-03
1.083717459485988854e-01,1.044811660397001774e+01,8.618069991274643002e-03,-6.615019936413191486e-05
4.868538278209015857e-01,1.219570057768595639e+01,8.794979981075971842e-03,-3.271903194232940112e-04
5.064911181694888853e-01,1.169699876179332776e+01,8.804957699700046575e-03,-2.527430075418476150e-04
5.202005968038285744e-01,1.120373432965658722e+01,8.811973456666023427e-03,-1.792079290089127874e-04
8.884742515083807746e-01,1.295637945450387107e+01,8.984260594313698070e-03,-4.444903005219156969e-04
1.247280178898389380e+00,1.569780972157349908e+01,9.154211491087253100e-03,-8.694636020636871063e-04
1.263726504782329840e+00,1.520818604837023891e+01,9.161583504165141112e-03,-7.934210224224254532e-04
1.276633041324370055e+00,1.471175150185687386e+01,9.167586808809255819e-03,-7.166267559120756024e-04
1.289750815375310111e+00,1.421359363733669490e+01,9.173941850597232966e-03,-6.399073464645096401e-04
1.301095561947441581e+00,1.371486108896388245e+01,9.179629460026218421e-03,-5.633999248026806336e-04
1.645041148365240957e+00,1.694383546025508380e+01,9.347935628692420965e-03,-1.069906962154551803e-03
2.058453210940839995e+00,1.821660273610089575e+01,9.552847941812707411e-03,-1.276366525903994097e-03
2.063815988053988804e+00,1.772139028509279157e+01,9.552226711676497714e-03,-1.197764835739679101e-03
2.258577074391059369e+00,1.961444062813436418e+01,9.659778717968289796e-03,-1.500489309889025931e-03
2.479110847048140442e+00,1.893005132847154925e+01,9.758878794587463879e-03,-1.393983750469095185e-03
1.214398668547005400e-01,9.948058485410040674e+00,8.624331054127512206e-03,7.647364697583709873e-06
5.316974400276812673e-01,1.070572227832425938e+01,8.817774605636921267e-03,-1.050497389815812125e-04
1.320214494593514587e-01,9.453180679547363852e+00,8.629181415878473677e-03,8.071990090684428090e-05
1.434889760656616886e-01,8.958580059910874027e+00,8.634224541722990490e-03,1.538440186566358196e-04
9.046783535894284967e-01,1.245691416915397198e+01,8.992583810572237976e-03,-3.690676997565443709e-04
1.312355148759518642e+00,1.321668213778762180e+01,9.185382392217479597e-03,-4.872687964476279119e-04
1.657946755111389336e+00,1.644613137774738831e+01,9.352302623037224080e-03,-9.915511885238350188e-04
2.073075564774370605e+00,1.721088302092289624e+01,9.553948256284982427e-03,-1.116911045872410633e-03
1.669942107129180897e+00,1.595554498459488357e+01,9.356756363303676133e-03,-9.145862715735682139e-04
2.515198671144581510e+00,1.932125572891566279e+01,9.779229635538129461e-03,-1.456439294387585834e-03
2.484540041142739852e+00,1.847099227882669581e+01,9.758067395739405264e-03,-1.321096109778333461e-03
2.499999999999971578e+00,2.000000000000000000e+01,9.778022371101478469e-03,-1.563904419648917037e-03
5.447558295283307928e-01,1.020506221976687300e+01,8.824126045189808337e-03,-3.053887821450727863e-05
9.255088162916109695e-01,1.195723368857222368e+01,9.003042176263841359e-03,-2.938319724892137093e-04
9.435063726166710296e-01,1.146075051657321886e+01,9.012054608755626015e-03,-2.192051258449380260e-04
9.554959588073117516e-01,1.096434825838919203e+01,9.018092474089679095e-03,-1.446725455175498743e-04
1.549413094449612061e-01,8.464001567209125554e+00,8.639054598633247317e-03,2.271114563546877099e-04
1.664340889617186292e-01,7.969147928265393865e+00,8.643724865149256253e-03,3.006186681847933034e-04
1.757631272507609310e-01,7.474202872918199958e+00,8.647234954036995408e-03,3.743751806420187378e-04
1.324817738544830092e+00,1.271837430539237879e+01,9.191753893045823479e-03,-4.113806204487055235e-04
1.688039297409169137e+00,1.546662213754990844e+01,9.364550346780632986e-03,-8.382412672280481611e-04
1.701837686672359240e+00,1.497121799752560989e+01,9.370629388724058262e-03,-7.611391291768811922e-04
1.713779154853639852e+00,1.447309659340662868e+01,9.376103229926831262e-03,-6.839019114096278867e-04
1.725295010958770803e+00,1.397450957870726995e+01,9.381590916882891207e-03,-6.068836646476964821e-04
1.737138492985689453e+00,1.347633721949444841e+01,9.387385272705224548e-03,-5.302071368814962509e-04
2.084921490552900991e+00,1.670310670318391288e+01,9.557469569662127226e-03,-1.036707932407184224e-03
2.492763474021678860e+00,1.798473459041316147e+01,9.758813429281929311e-03,-1.243914107009449306e-03
2.504376294631260436e+00,1.748473180541414962e+01,9.761558584119927814e-03,-1.164642080513643299e-03
2.746469545387260069e+00,1.963623371240122495e+01,9.891798307927640241e-03,-1.508509122674328486e-03
2.865494325745238768e+00,1.921722713138785110e+01,9.945071038358416909e-03,-1.443069773085561011e-03
2.904821164417960233e+00,1.873417209260031058e+01,9.960302173119576705e-03,-1.366691505138084746e-03
5.557504832974693443e-01,9.709744977762118978e+00,8.829308280485420601e-03,4.319050037364987465e-05
9.674276846195901669e-01,1.046565072997089629e+01,9.023963449323817165e-03,-6.985927592945525210e-05
1.806555193203891463e-01,6.977687602758225971e+00,8.648548615873070250e-03,4.486265416561436951e-04
5.665777890415988338e-01,9.215233863136479187e+00,8.834221531521805476e-03,1.168592818807716950e-04
5.790717478401106177e-01,8.720447584805169683e+00,8.839747616469018424e-03,1.906849353032654662e-04
1.346187436996999054e+00,1.221600444999370616e+01,9.202353524822751152e-03,-3.351368000577261623e-04
1.749766676474710181e+00,1.297755634781376699e+01,9.393645675784224533e-03,-4.536893852236401634e-04
2.097105134446511698e+00,1.621456207896205726e+01,9.561709527336769571e-03,-9.597698545483333192e-04
2.513724930182998918e+00,1.697385224176804996e+01,9.763652427832100744e-03,-1.083746081366128260e-03
2.110822743329720197e+00,1.572024871910752353e+01,9.567083703501517988e-03,-8.821821301081976714e-04
2.919010372041579870e+00,1.824416516978921265e+01,9.963894289179067026e-03,-1.288961904402639294e-03
2.999999999999989342e+00,2.000000000000000000e+01,1.001510320779302327e-02,-1.568256520750500090e-03
9.793303415694687430e-01,9.966746310614167825e+00,9.029669855425304092e-03,4.970933475839925186e-06
1.365335788556180319e+00,1.171703365623316273e+01,9.211845565470992703e-03,-2.595511086533767238e-04
1.379709196794070891e+00,1.122314477755516826e+01,9.218987888977455553e-03,-1.848304051081706731e-04
1.391336674510959881e+00,1.072416453777604239e+01,9.224730249222046208e-03,-1.094125899462019180e-04
5.907768319339012919e-01,8.225992817147767866e+00,8.844748341391693927e-03,2.646216856113838955e-04
6.017343754683288637e-01,7.730245809651751010e+00,8.849273463280807328e-03,3.389599033775164607e-04
6.126964879799707830e-01,7.233269104047975517e+00,8.853719669048900828e-03,4.137406126485728840e-04
1.824918598664204694e-01,6.480728740496124018e+00,8.648376747981250875e-03,5.232492649926361690e-04
1.765378878124170825e+00,1.247686978662020429e+01,9.401366451955569734e-03,-3.771110813028344345e-04
2.126000569899968440e+00,1.522850482707396935e+01,9.573521725562719048e-03,-8.052698071019742882e-04
2.138695228611858568e+00,1.473183938625084544e+01,9.579065027679641020e-03,-7.278299059206407365e-04
2.150478776028990069e+00,1.423363888738580130e+01,9.584414753241997723e-03,-6.504081243182851559e-04
2.162122301891841403e+00,1.373536872516958773e+01,9.589881954368589118e-03,-5.732287013981519691e-04
2.174027188495760043e+00,1.323712894867404444e+01,9.595603245750605054e-03,-4.962898674147869348e-04
2.523471669211740931e+00,1.647780374393046188e+01,9.766455290906845763e-03,-1.005370445280648079e-03
