x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.046719518703439003e-02,-8.008941945898453421e-04
2.150677684622799291e-01,1.958417653669586400e+01,1.058197778055511989e-02,-7.683690609789008315e-04
3.125627968666293555e-01,1.864716906470728475e+01,1.062427512192133140e-02,-6.873940157568381344e-04
3.171253586207214425e-01,1.911682022212894339e+01,1.063293915618244816e-02,-7.289683465154154053e-04
3.197227889367013631e-01,1.815502063943323918e+01,1.062336360673160618e-02,-6.443185945265136926e-04
5.000000000000000000e-01,2.000000000000000000e+01,1.075165996068095341e-02,-8.106515624638409257e-04
7.268377157609293704e-01,1.948189336371245162e+01,1.087206431042013997e-02,-7.689132743328565365e-04
3.324799169943588595e-01,1.765661494120666219e+01,1.062694388091690346e-02,-6.012118799122314434e-04
7.477099128314499410e-01,1.841673112457957373e+01,1.087062679045374888e-02,-6.752514702261142076e-04
7.288281609585993692e-01,1.893264419257299380e+01,1.086557376960506187e-02,-7.203460360088770505e-04
6.126140549771008637e-03,1.393883490349006493e+01,1.044287148514454373e-02,-2.918552655390729248e-04
3.462454528261709186e-01,1.715835398417801372e+01,1.063232885036066548e-02,-5.586315312077642708e-04
7.610859817068700295e-01,1.792254221555610627e+01,1.087394835921007795e-02,-6.322337773000843812e-04
3.588043807178813438e-01,1.666021960889865738e+01,1.063809332271519609e-02,-5.165955234440904910e-04
1.085692806363770302e+00,1.917436296054636102e+01,1.107221409691732696e-02,-7.478359653275644912e-04
1.229153078410270439e+00,1.873248263188046536e+01,1.114871409862806112e-02,-7.112090714746148283e-04
9.999999999999893419e-01,2.000000000000000000e+01,1.103569204646285065e-02,-8.193756525721487783e-04
2.360066974684826846e-02,1.344230011818341985e+01,1.045477746957973117e-02,-2.541458025911631801e-04
3.689567595568306047e-01,1.616831246226082541e+01,1.064338748244012152e-02,-4.756239102313886309e-04
3.852315172461189263e-01,1.567831972280428943e+01,1.065288050230784114e-02,-4.354982222745471128e-04
4.019493949504706620e-01,1.518776455835368644e+01,1.066316444406182652e-02,-3.958905591199549036e-04
4.152197164099789006e-01,1.469291716997159014e+01,1.067188746460546143e-02,-3.564271612760463179e-04
4.298882323578894216e-01,1.419623623162349091e+01,1.068166307644328843e-02,-3.173513050932355107e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.087537984246810842e-02,-5.889987159013470750e-04
1.200283162850748653e+00,1.819110516899724672e+01,1.112698946038589640e-02,-6.631371148926915558e-04
1.250000000000021316e+00,1.956698729810777593e+01,1.117100436148467033e-02,-7.852182831435228043e-04
1.493645076688999040e+00,1.915780731645812551e+01,1.130423250951786973e-02,-7.528272034531983741e-04
3.021816274658917223e-02,1.293697799842149010e+01,1.046051448830914374e-02,-2.160655721826461653e-04
4.441026490960204853e-01,1.370340103264483567e+01,1.069129676131540772e-02,-2.790334978487536330e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.088129339067519727e-02,-5.461207833540352666e-04
1.197082458876931099e+00,1.769236410254564618e+01,1.112140977953129939e-02,-6.195372181018086143e-04
7.952304015982782914e-01,1.642383889671659247e+01,1.088678784727891563e-02,-5.042112417070642632e-04
1.719710019260990208e+00,1.882683477713113973e+01,1.142918298989030121e-02,-7.269644997535157794e-04
1.499999999999989342e+00,2.000000000000000000e+01,1.131919737935819029e-02,-8.272561647805989514e-04
4.556153152296005260e-02,1.243633101129515950e+01,1.047096849802436717e-02,-1.787818248762265770e-04
6.505650485206970757e-02,1.193874412405663676e+01,1.048349222854176241e-02,-1.420223488135426691e-04
8.351299073286000407e-02,1.144186637449435651e+01,1.049511742860720354e-02,-1.055014530426234137e-04
4.524969318071505597e-01,1.319515967823735636e+01,1.069770687893695747e-02,-2.398784607954208999e-04
8.055556596365285316e-01,1.593434693313355233e+01,1.089218513494769058e-02,-4.633800732226207820e-04
8.259092084109092013e-01,1.544607123446077601e+01,1.090388379072209334e-02,-4.233140156934611176e-04
8.399171062219110695e-01,1.495112084517530882e+01,1.091242873831123165e-02,-3.831039689137542771e-04
8.528497455404107086e-01,1.445376168039130249e+01,1.092070008623988002e-02,-3.431740036183232698e-04
8.686876196325883370e-01,1.395454822402442296e+01,1.093083540161635288e-02,-3.035882387414757340e-04
1.208599230678750303e+00,1.718561937279882557e+01,1.112515255217810806e-02,-5.758370927023629803e-04
1.640309154242618916e+00,1.842499282476863698e+01,1.138005720677012084e-02,-6.904613601246906629e-04
1.626358391036340834e+00,1.795751811465306247e+01,1.136823176630848316e-02,-6.492598741526726773e-04
1.749965376699130104e+00,1.956699425731710917e+01,1.145495440657153668e-02,-7.926926443176071950e-04
2.036298398502758289e+00,1.915510226709084662e+01,1.161267121617935889e-02,-7.603223176348316474e-04
9.393282445844874928e-02,1.094742152819198644e+01,1.050187522142149478e-02,-6.926455216903855319e-05
4.641804179173796285e-01,1.269801895595811203e+01,1.070586149943767926e-02,-2.019860468571233250e-04
8.754673994819093252e-01,1.345467652379300105e+01,1.093594522384466923e-02,-2.642674109382064191e-04
1.221766762960800889e+00,1.668167315296634712e+01,1.113074698876999682e-02,-5.328270087924690717e-04
1.635070722763060758e+00,1.745296325419825223e+01,1.136990742885132973e-02,-6.054092536638608617e-04
1.231747447719911293e+00,1.618954719858659175e+01,1.113532059321656505e-02,-4.912280031330087384e-04
2.068312481335588870e+00,1.868155847200793573e+01,1.162610696225046918e-02,-7.190092845373282152e-04
1.999999999999971578e+00,2.000000000000000000e+01,1.160236326580668491e-02,-8.342828407938438287e-04
1.083717459485988854e-01,1.044811660397001774e+01,1.051052382509667406e-02,-3.276324346713558987e-05
4.868538278209015857e-01,1.219570057768595639e+01,1.072005994029872830e-02,-1.640825298812563233e-04
5.064911181694888853e-01,1.169699876179332776e+01,1.073230395521222909e-02,-1.266449044701562984e-04
5.202005968038285744e-01,1.120373432965658722e+01,1.074092970572049915e-02,-8.974218552188247932e-05
8.884742515083807746e-01,1.295637945450387107e+01,1.094458536929909798e-02,-2.255084773816445193e-04
1.247280178898389380e+00,1.569780972157349908e+01,1.114368184138353826e-02,-4.502022580677369633e-04
