x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.649861164670241881e-03,-8.295404961428242286e-04
2.150677684622799291e-01,1.958417653669586400e+01,9.755826316992564570e-03,-7.957917473755462276e-04
3.125627968666293555e-01,1.864716906470728475e+01,9.794847775506961354e-03,-7.126212394088610961e-04
3.171253586207214425e-01,1.911682022212894339e+01,9.802864338694046442e-03,-7.552268972069391779e-04
3.197227889367013631e-01,1.815502063943323918e+01,9.793970801810793908e-03,-6.684180362274121795e-04
5.000000000000000000e-01,2.000000000000000000e+01,9.912491533135945818e-03,-8.385487840063013355e-04
7.268377157609293704e-01,1.948189336371245162e+01,1.002365297972898639e-02,-7.953819547480927123e-04
3.324799169943588595e-01,1.765661494120666219e+01,9.797228421645601953e-03,-6.241200180035755534e-04
7.477099128314499410e-01,1.841673112457957373e+01,1.002229448232052483e-02,-6.993445846311483610e-04
7.288281609585993692e-01,1.893264419257299380e+01,1.001765000572211670e-02,-7.456151047787275060e-04
6.126140549771008637e-03,1.393883490349006493e+01,9.626779969623565705e-03,-3.048367876728927373e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.802145379890559937e-03,-5.803048095244824067e-04
7.610859817068700295e-01,1.792254221555610627e+01,1.002532666740530917e-02,-6.551761901539662931e-04
3.588043807178813438e-01,1.666021960889865738e+01,9.807408791393834244e-03,-5.369888576853367769e-04
1.085692806363770302e+00,1.917436296054636102e+01,1.020845013938249425e-02,-7.731629704005453822e-04
1.229153078410270439e+00,1.873248263188046536e+01,1.027907960700174921e-02,-7.353826542906746191e-04
9.999999999999893419e-01,2.000000000000000000e+01,1.017472842902776044e-02,-8.465938973459566320e-04
2.360066974684826846e-02,1.344230011818341985e+01,9.637717411628195577e-03,-2.655347511776087180e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.812236774650550525e-03,-4.947114288281920323e-04
3.852315172461189263e-01,1.567831972280428943e+01,9.820941938196632928e-03,-4.532321443218299047e-04
4.019493949504706620e-01,1.518776455835368644e+01,9.830376802541947873e-03,-4.122254006281445417e-04
4.152197164099789006e-01,1.469291716997159014e+01,9.838369951393231144e-03,-3.713130278793392051e-04
4.298882323578894216e-01,1.419623623162349091e+01,9.847336599919914030e-03,-3.307427402989534040e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.002660251473781912e-02,-6.107495369678619425e-04
1.200283162850748653e+00,1.819110516899724672e+01,1.025899784296407762e-02,-6.861338128256186733e-04
1.250000000000021316e+00,1.956698729810777593e+01,1.029966500303134032e-02,-8.111876580632363873e-04
1.493645076688999040e+00,1.915780731645812551e+01,1.042268364242964103e-02,-7.776142439665277920e-04
3.021816274658917223e-02,1.293697799842149010e+01,9.642963228979223658e-03,-2.258125044033727877e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.856176542722250300e-03,-2.909084434201174513e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.003201080579805594e-02,-5.666256314039298629e-04
1.197082458876931099e+00,1.769236410254564618e+01,1.025380957719752850e-02,-6.413886223094460593e-04
