x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,1.138636628739647140e-02,-3.242885785137152380e-03
2.150677684622799291e-01,1.958417653669586400e+01,1.151786535361920029e-02,-3.110331199707349215e-03
3.125627968666293555e-01,1.864716906470728475e+01,1.156584773137099217e-02,-2.802370312005223081e-03
3.171253586207214425e-01,1.911682022212894339e+01,1.157614767320767728e-02,-2.957958072824467925e-03
3.197227889367013631e-01,1.815502063943323918e+01,1.156398199804981042e-02,-2.639546462891247895e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.171147584584959246e-02,-3.253382690859812042e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.184971518438763388e-02,-3.086844991842736460e-03
3.324799169943588595e-01,1.765661494120666219e+01,1.156693937658610088e-02,-2.474964746287992845e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.184756363172022146e-02,-2.734937919447289791e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.184226898657396443e-02,-2.905261559237720930e-03
6.126140549771008637e-03,1.393883490349006493e+01,1.134257568483586394e-02,-1.255344100377039614e-03
3.462454528261709186e-01,1.715835398417801372e+01,1.157171656626271826e-02,-2.310774006918005045e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.185053578404149897e-02,-2.571681623335839682e-03
3.588043807178813438e-01,1.666021960889865738e+01,1.157675224258587938e-02,-2.147030256594037109e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.207892641071348951e-02,-2.991710946815874690e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.216644012262697860e-02,-2.848147131102031233e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.203645007882130427e-02,-3.262553963369353108e-03
2.360066974684826846e-02,1.344230011818341985e+01,1.135457407334156121e-02,-1.096181940016884753e-03
3.689567595568306047e-01,1.616831246226082541e+01,1.158114844999344820e-02,-1.985779103579801436e-03
3.852315172461189263e-01,1.567831972280428943e+01,1.159030107771817641e-02,-1.825799622926238932e-03
4.019493949504706620e-01,1.518776455835368644e+01,1.160034421495543047e-02,-1.666159894753497378e-03
4.152197164099789006e-01,1.469291716997159014e+01,1.160859885394117767e-02,-1.505576864665236552e-03
4.298882323578894216e-01,1.419623623162349091e+01,1.161811851672491305e-02,-1.344917199396785269e-03
7.692281648677301575e-01,1.742261178628551832e+01,1.185106231353733400e-02,-2.406582863370997083e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.214099642296648587e-02,-2.668543631550891661e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.219185622178290546e-02,-3.124137696318941664e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.234473499774798276e-02,-2.992965658848366697e-03
3.021816274658917223e-02,1.293697799842149010e+01,1.135961091049266479e-02,-9.344772525680476033e-04
4.441026490960204853e-01,1.370340103264483567e+01,1.162758837992948317e-02,-1.185943211644672124e-03
7.834061262387201907e-01,1.692026848054210220e+01,1.185650793826233985e-02,-2.241091427205762696e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.213376979813167965e-02,-2.503544009230825648e-03
7.952304015982782914e-01,1.642383889671659247e+01,1.186133972194019365e-02,-2.077878221880406426e-03
1.719710019260990208e+00,1.882683477713113973e+01,1.248793810610827025e-02,-2.887063317732400762e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.236107240131393940e-02,-3.270704611277538282e-03
