x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,7.703587709738486319e-03,-1.251274155844895285e-03
2.150677684622799291e-01,1.958417653669586400e+01,7.789478739715307090e-03,-1.200129664553053295e-03
3.125627968666293555e-01,1.864716906470728475e+01,7.820943744908782566e-03,-1.078980495910273349e-03
3.171253586207214425e-01,1.911682022212894339e+01,7.827563811662567941e-03,-1.140475809982197586e-03
3.197227889367013631e-01,1.815502063943323918e+01,7.820021913795546092e-03,-1.014824358039045134e-03
5.000000000000000000e-01,2.000000000000000000e+01,7.916354459804620172e-03,-1.258450204582510805e-03
7.268377157609293704e-01,1.948189336371245162e+01,8.006533719816123079e-03,-1.193835798677341355e-03
3.324799169943588595e-01,1.765661494120666219e+01,7.822382935211360730e-03,-9.501774693255960391e-04
7.477099128314499410e-01,1.841673112457957373e+01,8.005257623644197046e-03,-1.054932168838769967e-03
7.288281609585993692e-01,1.893264419257299380e+01,8.001629970647723342e-03,-1.122052664568169711e-03
6.126140549771008637e-03,1.393883490349006493e+01,7.681036876737091373e-03,-4.759409039835178160e-04
3.462454528261709186e-01,1.715835398417801372e+01,7.826038053562911490e-03,-8.858837283211564925e-04
7.610859817068700295e-01,1.792254221555610627e+01,8.007507237882488527e-03,-9.906966571432969208e-04
3.588043807178813438e-01,1.666021960889865738e+01,7.829936626923855725e-03,-8.219672592204345591e-04
1.085692806363770302e+00,1.917436296054636102e+01,8.156350421373534734e-03,-1.158144314951289498e-03
1.229153078410270439e+00,1.873248263188046536e+01,8.213574205330030284e-03,-1.102182215382390253e-03
9.999999999999893419e-01,2.000000000000000000e+01,8.128896071198547096e-03,-1.264809051150669406e-03
2.360066974684826846e-02,1.344230011818341985e+01,7.689533739699229084e-03,-4.152969718969535986e-04
3.689567595568306047e-01,1.616831246226082541e+01,7.833461598948177410e-03,-7.592248292900600918e-04
3.852315172461189263e-01,1.567831972280428943e+01,7.840121955947952984e-03,-6.972226073383746333e-04
4.019493949504706620e-01,1.518776455835368644e+01,7.847372404965236720e-03,-6.355575230698028849e-04
4.152197164099789006e-01,1.469291716997159014e+01,7.853456137548521163e-03,-5.737084148756633681e-04
4.298882323578894216e-01,1.419623623162349091e+01,7.860344285228483205e-03,-5.120234347881103681e-04
7.692281648677301575e-01,1.742261178628551832e+01,8.008273002611728322e-03,-9.258641851088914151e-04
1.200283162850748653e+00,1.819110516899724672e+01,8.197140084885841740e-03,-1.031192214827388303e-03
1.250000000000021316e+00,1.956698729810777593e+01,8.230280343270900828e-03,-1.211347826296226742e-03
1.493645076688999040e+00,1.915780731645812551e+01,8.330078807828234302e-03,-1.160684429339047538e-03
3.021816274658917223e-02,1.293697799842149010e+01,7.693439252067595796e-03,-3.537979790316133082e-04
4.441026490960204853e-01,1.370340103264483567e+01,7.867156120579721704e-03,-4.511522115968050932e-04
7.834061262387201907e-01,1.692026848054210220e+01,8.012343817437584531e-03,-8.610925042214938102e-04
1.197082458876931099e+00,1.769236410254564618e+01,8.192729408386653644e-03,-9.662301296241846468e-04
7.952304015982782914e-01,1.642383889671659247e+01,8.016070361709082964e-03,-7.973919437834636487e-04
1.719710019260990208e+00,1.882683477713113973e+01,8.423640609062530912e-03,-1.119917098373825366e-03
1.499999999999989342e+00,2.000000000000000000e+01,8.341115206466758261e-03,-1.270509029222110153e-03
4.556153152296005260e-02,1.243633101129515950e+01,7.700937596571599993e-03,-2.932067251812303437e-04
6.505650485206970757e-02,1.193874412405663676e+01,7.710048387172941872e-03,-2.332086389248310321e-04
8.351299073286000407e-02,1.144186637449435651e+01,7.718546915976906911e-03,-1.734336866672798311e-04
4.524969318071505597e-01,1.319515967823735636e+01,7.871574806863068652e-03,-3.886429306267134647e-04
8.055556596365285316e-01,1.593434693313355233e+01,8.019708817153555283e-03,-7.349198235093000334e-04
8.259092084109092013e-01,1.544607123446077601e+01,8.028063122338096463e-03,-6.730791410880215125e-04
8.399171062219110695e-01,1.495112084517530882e+01,8.034048228179225745e-03,-6.106764368626728737e-04
8.528497455404107086e-01,1.445376168039130249e+01,8.039835633543540930e-03,-5.483117251486717978e-04
