x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm]
0.000000000000000000e+00,2.000000000000000000e+01,9.769790654094579266e-03,-2.191148410209004319e-03
2.150677684622799291e-01,1.958417653669586400e+01,9.880517842157789804e-03,-2.101548112932603331e-03
3.125627968666293555e-01,1.864716906470728475e+01,9.920971466412032910e-03,-1.891927911217377873e-03
3.171253586207214425e-01,1.911682022212894339e+01,9.929591884716593153e-03,-1.998015003741012395e-03
3.197227889367013631e-01,1.815502063943323918e+01,9.919576790220324333e-03,-1.781037482317333930e-03
5.000000000000000000e-01,2.000000000000000000e+01,1.004385930218448970e-02,-2.200215335820098882e-03
7.268377157609293704e-01,1.948189336371245162e+01,1.016018376916128126e-02,-2.087430239840595662e-03
3.324799169943588595e-01,1.765661494120666219e+01,9.922333227902185165e-03,-1.669081698108855873e-03
7.477099128314499410e-01,1.841673112457957373e+01,1.015841999396130402e-02,-1.847614740366420325e-03
7.288281609585993692e-01,1.893264419257299380e+01,1.015386586649012594e-02,-1.963615398342678873e-03
6.126140549771008637e-03,1.393883490349006493e+01,9.736759631075687579e-03,-8.426478901752516241e-04
3.462454528261709186e-01,1.715835398417801372e+01,9.926697685564372584e-03,-1.557523840617432327e-03
7.610859817068700295e-01,1.792254221555610627e+01,1.016111075856475712e-02,-1.736493024845637894e-03
3.588043807178813438e-01,1.666021960889865738e+01,9.931332789048561913e-03,-1.446403197167189661e-03
1.085692806363770302e+00,1.917436296054636102e+01,1.035327724273278974e-02,-2.023782236347255580e-03
1.229153078410270439e+00,1.873248263188046536e+01,1.042700793084435501e-02,-1.926399700414295436e-03
9.999999999999893419e-01,2.000000000000000000e+01,1.031772374225910054e-02,-2.208200154512030347e-03
2.360066974684826846e-02,1.344230011818341985e+01,9.747298778775255815e-03,-7.356139454373476381e-04
3.689567595568306047e-01,1.616831246226082541e+01,9.935459596872260601e-03,-1.337106616500829568e-03
3.852315172461189263e-01,1.567831972280428943e+01,9.943611136582944376e-03,-1.228833823413670503e-03
4.019493949504706620e-01,1.518776455835368644e+01,9.952519222286850334e-03,-1.120926982797844145e-03
4.152197164099789006e-01,1.469291716997159014e+01,9.959924472695724784e-03,-1.012501695973512181e-03
4.298882323578894216e-01,1.419623623162349091e+01,9.968381313135234872e-03,-9.041525919500192476e-04
7.692281648677301575e-01,1.742261178628551832e+01,1.016181916639978706e-02,-1.624200851412655562e-03
1.200283162850748653e+00,1.819110516899724672e+01,1.040568669669687460e-02,-1.803947312717007210e-03
1.250000000000021316e+00,1.956698729810777593e+01,1.044850944306444096e-02,-2.114620140401481455e-03
1.493645076688999040e+00,1.915780731645812551e+01,1.057721089557810308e-02,-2.025942855426057440e-03
3.021816274658917223e-02,1.293697799842149010e+01,9.751948115473536849e-03,-6.269472473182939772e-04
4.441026490960204853e-01,1.370340103264483567e+01,9.976768917294993877e-03,-7.970507415965824224e-04
7.834061262387201907e-01,1.692026848054210220e+01,1.016673484141932676e-02,-1.511783674914290738e-03
1.197082458876931099e+00,1.769236410254564618e+01,1.039979232452964072e-02,-1.691616660191019210e-03
7.952304015982782914e-01,1.642383889671659247e+01,1.017117396832407060e-02,-1.401032816548920682e-03
1.719710019260990208e+00,1.882683477713113973e+01,1.069782725064061767e-02,-1.954435987028426466e-03
1.499999999999989342e+00,2.000000000000000000e+01,1.059123358663606983e-02,-2.215327581321765039e-03
4.556153152296005260e-02,1.243633101129515950e+01,9.761286359372041768e-03,-5.197067079888055899e-04
6.505650485206970757e-02,1.193874412405663676e+01,9.772764290565597381e-03,-4.133957987820763400e-04
8.351299073286000407e-02,1.144186637449435651e+01,9.783512304088864617e-03,-3.074025538578351599e-04
4.524969318071505597e-01,1.319515967823735636e+01,9.982088505188137922e-03,-6.869181822045242669e-04
8.055556596365285316e-01,1.593434693313355233e+01,1.017547767144328166e-02,-1.292219558766647151e-03
8.259092084109092013e-01,1.544607123446077601e+01,1.018585343502634299e-02,-1.184248209383543865e-03
8.399171062219110695e-01,1.495112084517530882e+01,1.019316750442872399e-02,-1.075128785374259398e-03
8.528497455404107086e-01,1.445376168039130249e+01,1.020023307291828552e-02,-9.658854629659330455e-04
8.686876196325883370e-01,1.395454822402442296e+01,1.020914290082291370e-02,-8.566675692396454132e-04
