Epoch,Train_Loss,Validation_Loss
1,0.19582079350948334,0.17124098539352417
2,0.17178823053836823,0.14923427999019623
3,0.1497320979833603,0.1290464550256729
4,0.12949490547180176,0.11063540726900101
5,0.11103451997041702,0.09401936084032059
6,0.09436914324760437,0.07924117892980576
7,0.0795416384935379,0.06636898219585419
8,0.06662025302648544,0.05549497902393341
9,0.055697422474622726,0.04671907797455788
10,0.046873483806848526,0.040116194635629654
11,0.040224093943834305,0.03568920120596886
12,0.03575323149561882,0.03331434354186058
13,0.03333862125873566,0.03269672393798828
14,0.03268706053495407,0.033363986760377884
15,0.033327821642160416,0.03472220525145531
16,0.034668173640966415,0.03616994619369507
17,0.036107104271650314,0.037225622683763504
18,0.03716261312365532,0.03761005774140358
19,0.03755443915724754,0.03725742921233177
20,0.037215206772089005,0.036268893629312515
21,0.036244362592697144,0.034841883927583694
22,0.03483763337135315,0.03320212662220001
23,0.03321918845176697,0.031552620232105255
24,0.03159068897366524,0.030043527483940125
25,0.03010118380188942,0.028761541470885277
26,0.02883652225136757,0.027734167873859406
27,0.02782360464334488,0.026943128556013107
28,0.02704377844929695,0.026341276243329048
29,0.026449739933013916,0.025868834927678108
30,0.025981714949011803,0.02546653151512146
31,0.025580575689673424,0.025084612891077995
32,0.02519681677222252,0.024687714874744415
33,0.024795405566692352,0.024256084114313126
34,0.024356987327337265,0.0237839687615633
35,0.02387624979019165,0.023275943472981453
36,0.023358257487416267,0.022742198780179024
37,0.022813711315393448,0.022193575277924538
38,0.022253980860114098,0.021637381985783577
39,0.021686900407075882,0.021074732765555382
40,0.021114101633429527,0.020500151440501213
41,0.020530564710497856,0.019903454929590225
42,0.019926490262150764,0.019273551180958748
43,0.019291069358587265,0.01860298030078411
44,0.018617000430822372,0.01789175719022751
45,0.017904305830597878,0.017149198800325394
46,0.017162175849080086,0.016393013298511505
47,0.016408057883381844,0.01564568467438221
48,0.01566406711935997,0.01492899190634489
49,0.014951515942811966,0.014258055947721004
50,0.014285019598901272,0.013636673800647259
51,0.013667849823832512,0.013055619783699512
52,0.01309029571712017,0.012494941242039204
53,0.01253200601786375,0.011930172331631184
54,0.011968251317739487,0.011340765282511711
55,0.011378388851881027,0.010717815719544888
56,0.010753605514764786,0.010068021714687347
57,0.010100851766765118,0.009412077255547047
58,0.009441214613616467,0.008777839131653309
59,0.008803018368780613,0.008190683089196682
60,0.008212112821638584,0.007664863485842943
61,0.007683171425014734,0.007199822925031185
