x-coordinate [mm],y-coordinate [mm],x-displacement [mm],y-displacement [mm],G,K
47.4314378344764,7.65117377017074,0.0344210326225909,0.0001428848761821,95300000000.0,125000000000.0
3.65133967064158,5.553711387540119,0.0143765560169039,0.0008568106905786,61600000000.0,93500000000.0
70.45636242255831,13.864660217096391,0.0557462472004793,-0.0009137935335521,65400000000.0,137000000000.0
65.07214297192601,6.43766819756425,0.0546355891047364,0.000814562723867,63600000000.0,128000000000.0
4.5777045939243095,2.577445261796118,0.0140990309802864,0.0021788654127585,56800000000.0,136000000000.0
55.63321893960335,4.136261438483277,0.0387479524251887,0.0004895159181922,89800000000.0,124000000000.0
46.94709938690296,9.34612235167158,0.0366603147210085,2.4475964595530724e-05,98000000000.0,99200000000.0
68.51530790796963,7.050757851345503,0.0609903563412646,0.0007936484558169,58100000000.0,125000000000.0
10.760992298668828,15.928851168085831,0.0126207640892862,-0.0007199202596674,94700000000.0,137000000000.0
17.734502538698287,18.68868881045158,0.0215035699894504,-0.0021846559982287,60900000000.0,134000000000.0
20.011146976549146,9.386308347990957,0.0186707124009414,8.344392296919064e-05,80400000000.0,135000000000.0
52.8621707313967,18.754674220378575,0.0501071991759595,-0.0019336526108269,58900000000.0,124000000000.0
36.45817590038008,8.14110730612238,0.0227518522844534,0.0012089099009453,93100000000.0,124000000000.0
25.5957047970211,10.779410806938357,0.025640306469347,-0.0001085749398789,63600000000.0,123000000000.0
42.89002729637959,13.897838284847236,0.0359639326173216,-0.0022492217327715,74900000000.0,140000000000.0
0.8686876196325883,13.95454822402442,0.01225425402777,-0.0007062427540559,63300000000.0,94900000000.0
15.505069262318775,0.6976044638858525,0.0213311442258507,0.0025247907717519,57500000000.0,126000000000.0
55.52133453064366,19.254622386968997,0.0378735663997901,-0.0007316673329265,94400000000.0,118000000000.0
30.81573501843832,7.408397705927925,0.0304127279553561,0.0002097285024274,64000000000.0,95400000000.0
34.08188390333488,13.444636960980672,0.0237051847760174,-0.0004827581893514,94200000000.0,114000000000.0
40.30069165146958,1.717023554071588,0.0347390956374222,0.0047324270804041,68900000000.0,134000000000.0
35.32362829468691,15.191342715246568,0.0340565604536486,-0.001899628346997,66100000000.0,96100000000.0
23.539742893744517,5.964628951544467,0.0181394669389811,0.0003339605597509,94700000000.0,137000000000.0
20.162038595841583,2.400634296806725,0.0255026792650402,0.001612215865374,58600000000.0,103000000000.0
0.8259092084109091,15.446071234460776,0.0103088002877674,-0.0009458220935277,72500000000.0,120000000000.0
53.32605196713376,9.800068214597866,0.0416409827989022,-1.64566183793801e-06,92900000000.0,87600000000.0
51.381719264365216,15.719319813200665,0.0505933837638825,-0.0013522981009156,54300000000.0,146000000000.0
74.2453557810231,3.9891215508239015,0.0582330629631054,0.0005874548377836,79200000000.0,85500000000.0
65.10471347752168,5.439315046790118,0.0437273407487308,0.0002817590939572,98000000000.0,99200000000.0
31.61019120166442,9.964837090799032,0.0303809925488828,1.0688337654711568e-06,68900000000.0,80800000000.0
30.314846600893787,10.67137075780348,0.0225979246413346,2.993157487308324e-06,97200000000.0,95100000000.0
53.52441993065006,0.8057543870594586,0.043459185499496,0.0015486964979051,71100000000.0,131000000000.0
63.18423696357084,11.374813696645802,0.0495853396321072,-0.0002940431484622,67900000000.0,143000000000.0
47.463950385628266,6.671690917227653,0.0413812449099936,0.0004359391482809,71400000000.0,129000000000.0
27.6124358174171,16.563549640626075,0.0291703343952002,-0.0013302360267411,58100000000.0,125000000000.0
50.426605186439915,5.461884021103105,0.042821674393809,0.0004866426066805,72500000000.0,120000000000.0
66.21472815901356,11.227239749412568,0.0590998404553986,-0.0003143688181954,58900000000.0,124000000000.0
61.84204802044151,12.583175711701816,0.0530494724865768,-0.0004511244223705,66800000000.0,111000000000.0
44.885775505267446,8.053913174888208,0.0372031298143405,0.0004791051179294,79300000000.0,142000000000.0
14.36315623789877,10.51024840394448,0.0187731072881323,-5.352473729150889e-05,77100000000.0,89300000000.0
69.42541973054446,18.831722480386503,0.0415561446647147,-0.0010747186444639,96000000000.0,141000000000.0
66.55650650370174,13.986140785822103,0.0546685169573661,-0.0004375241449239,76000000000.0,88700000000.0
47.2799952237643,11.582967397741104,0.0416464347090585,-0.0001570924518896,69900000000.0,141000000000.0
37.41710070440243,5.473336083630351,0.0399812548799387,0.0035650852505154,56300000000.0,95200000000.0
27.50664644261245,1.818261973258949,0.0202447090686565,0.0008900197865058,91600000000.0,149000000000.0
73.13404725184571,11.452810559255276,0.0663542742588942,-0.0003379764626589,59200000000.0,104000000000.0
11.230957255909509,14.193631001009928,0.0168242623909457,-0.0003564588763432,80900000000.0,83700000000.0
9.003853384690839,18.347802630430017,0.0147686899923108,-0.0006705207085484,85500000000.0,87600000000.0
32.11528711722982,0.9592157546374408,0.0229868264940888,0.0012919183790036,94300000000.0,139000000000.0
79.5068734337976,4.802050556127481,0.0580146660198219,0.0010548059793265,71100000000.0,131000000000.0
0.2150677684622799,19.584176536695864,0.0086859937489182,-0.0014693615197584,83300000000.0,139000000000.0
68.56439233847722,5.552732310140096,0.0473442497553558,0.0008221166064736,77600000000.0,146000000000.0
3.343822381848611,18.502408799794846,0.0128866811105332,-0.0012522107987215,70800000000.0,94900000000.0
30.85298116890526,5.875444695432823,0.0276352827166122,0.000175295143682,80900000000.0,83700000000.0
77.31533485629946,2.839620175676469,0.0669301439774235,0.001376748673881,63800000000.0,97000000000.0
27.743194360211447,10.603670245268686,0.0269962963038885,-5.626276713213692e-06,76400000000.0,80100000000.0
46.716123264640785,1.184360460774574,0.0319151942526964,0.0013901461471587,95300000000.0,125000000000.0
51.5934462477484,10.241308498686488,0.045964882116616,-1.5775620765619278e-05,71500000000.0,107000000000.0
10.999999999999911,20.0,0.0164655287915221,-0.0016958123880038,71800000000.0,110000000000.0
52.26840372361235,0.5137704162779588,0.0447247582814498,0.0005549942367522,80900000000.0,83700000000.0
56.598330684406136,14.402988209275902,0.0405295760744347,-0.0001179483775782,97200000000.0,95100000000.0
68.43554722331649,9.54828211685312,0.0588056558269454,0.0001313264340162,58000000000.0,145000000000.0
7.204046363829001,18.27333362063825,0.0129239446528269,-0.0004681634635213,94500000000.0,87700000000.0
20.949512038366393,5.911585140512287,0.0196896992244141,0.0004918801909097,80700000000.0,123000000000.0
43.6361318948521,4.269938123932222,0.0337524760184972,0.0022556143175982,81000000000.0,134000000000.0
75.02852797136661,6.515489000695603,0.0573733466369942,0.0007386609635008,68500000000.0,128000000000.0
22.590832577439183,9.94165737708807,0.0209569514280289,2.1833003939713164e-06,88000000000.0,94700000000.0
56.667804659646094,12.409794718901578,0.0422010924612878,-0.0003313198439731,76400000000.0,145000000000.0
46.74380110627719,13.831907508840208,0.0370297206768326,-0.0006110946152084,77600000000.0,146000000000.0
66.31219268081652,8.226949051062117,0.0449025250905398,0.0001515744266892,92900000000.0,106000000000.0
26.277288861535112,18.280054556126935,0.0200617481775234,-0.0004773665652388,99800000000.0,116000000000.0
73.80154405855615,17.475630162723,0.0735384626275717,-0.0024343641435726,50200000000.0,114000000000.0
31.704767858321397,5.906638245167405,0.0285310221865993,0.0005160454252803,68900000000.0,111000000000.0
6.226677581933358,6.58946949842889,0.0152110911701148,0.0005947581730358,66100000000.0,96100000000.0
3.0363612996350287,13.25695845256666,0.0140868491384721,-0.0004616011389391,65400000000.0,81500000000.0
52.97980177352402,7.065850098256795,0.0387746581201671,0.0001009330467941,92000000000.0,109000000000.0
56.61574743328188,13.904006084816848,0.0489364076501925,-0.0002644665700755,75900000000.0,89100000000.0
54.258910226697054,6.8356497383296535,0.0469794885711529,0.000296599953179,71500000000.0,107000000000.0
9.705370845779768,5.679567972658225,0.0169369232271173,0.0007777027591425,67000000000.0,102000000000.0
41.858892676754365,13.541824108606887,0.0469767379376024,-0.0037669380064311,54600000000.0,118000000000.0
56.322546719721885,10.14712976344029,0.0512470991910195,-3.210982470095859e-05,58600000000.0,145000000000.0
34.81890746446625,10.044591358650642,0.0231388481335646,-8.011737189404869e-06,97400000000.0,97400000000.0
11.61635688669423,16.447053156575436,0.0175615832468912,-0.0012790529866177,66700000000.0,113000000000.0
41.96135201253369,3.2398732108093764,0.0309174635361412,0.0028612930029083,92900000000.0,113000000000.0
73.03524266622942,14.449492397633012,0.0563513005073852,-0.0009080064822155,69100000000.0,125000000000.0
1.669942107129181,15.955544984594884,0.009880192857427,-0.0007723698494132,83500000000.0,118000000000.0
17.929102076315708,5.599273508024523,0.0192682108204571,0.0008791613138423,69900000000.0,141000000000.0
67.65033332981704,7.022305563425106,0.0475708313771633,0.0003246333142815,86400000000.0,108000000000.0
74.68614639450678,3.7535657453697926,0.0758854828687465,0.0015881761767097,53100000000.0,90200000000.0
78.15424331667501,16.6304481407282,0.0601694891410944,-0.0015840456922,65400000000.0,137000000000.0
29.58759663899532,5.093300907586468,0.0249877194315824,0.0003799379251577,80100000000.0,110000000000.0
28.347244794386377,2.8322337092337104,0.0214455092600511,0.0006410066504742,90900000000.0,132000000000.0
2.4106414760237804,2.782885325295254,0.0108629363717997,0.0009725657224009,79400000000.0,110000000000.0
79.63397459621535,19.633974596215182,0.0568884998388329,-0.0010003545565067,83700000000.0,96100000000.0
12.239313466243033,8.726926478301984,0.0157152822762279,0.0001070606058221,88100000000.0,95500000000.0
80.0,6.4999999999902585,0.0453330931809195,0.0003948774206724,99300000000.0,138000000000.0
10.3334515760549,15.67007105330539,0.0134710966074841,-0.0009915024691072,81100000000.0,149000000000.0
20.08518078854061,5.894079621702899,0.0260772866296715,0.0012179552168367,51300000000.0,130000000000.0
35.49999999999005,0.0,0.0278943071535559,0.0022227511242175,92900000000.0,106000000000.0
64.5750187653477,19.282688832198936,0.0465387207644847,-0.0006613412893784,91200000000.0,93500000000.0
54.49999999999994,20.0,0.0521281688287953,-0.0009773245812151,68900000000.0,80800000000.0
